8.3074 	EXP 	Fixatin: autoDraw = True
9.3077 	INFO 	Keyboard events cleared
9.3073 	EXP 	Fixatin: autoDraw = False
9.3073 	EXP 	grating: autoDraw = True
9.6073 	EXP 	grating: autoDraw = False
11.0583 	EXP 	New trial (rep=5, index=0): <Trial 5 (0 in rep 5) data={'thisN': 5, 'thisTrialN': 0, 'thisRepN': 5}>
11.0594 	DATA 	Keypress: down
11.0739 	EXP 	Fixatin: autoDraw = False
11.0739 	EXP 	grating: autoDraw = False
11.0739 	EXP 	grating: ori = 4.0
11.0739 	EXP 	Fixatin: autoDraw = True
12.0740 	INFO 	Keyboard events cleared
12.0734 	EXP 	Fixatin: autoDraw = False
12.0734 	EXP 	grating: autoDraw = True
12.3734 	EXP 	grating: autoDraw = False
12.8912 	EXP 	New trial (rep=6, index=0): <Trial 6 (0 in rep 6) data={'thisN': 6, 'thisTrialN': 0, 'thisRepN': 6}>
12.8924 	DATA 	Keypress: down
12.9068 	EXP 	Fixatin: autoDraw = False
12.9068 	EXP 	grating: autoDraw = False
12.9068 	EXP 	grating: ori = 0.0
12.9068 	EXP 	Fixatin: autoDraw = True
13.9070 	INFO 	Keyboard events cleared
13.9065 	EXP 	Fixatin: autoDraw = False
13.9065 	EXP 	grating: autoDraw = True
14.2067 	EXP 	grating: autoDraw = False
14.4914 	EXP 	New trial (rep=7, index=0): <Trial 7 (0 in rep 7) data={'thisN': 7, 'thisTrialN': 0, 'thisRepN': 7}>
14.4925 	DATA 	Keypress: up
14.5066 	EXP 	Fixatin: autoDraw = False
14.5066 	EXP 	grating: autoDraw = False
14.5066 	EXP 	grating: ori = 2.0
14.5066 	EXP 	Fixatin: autoDraw = True
15.5071 	INFO 	Keyboard events cleared
15.5067 	EXP 	Fixatin: autoDraw = False
15.5067 	EXP 	grating: autoDraw = True
15.8065 	EXP 	grating: autoDraw = False
16.2910 	EXP 	New trial (rep=8, index=0): <Trial 8 (0 in rep 8) data={'thisN': 8, 'thisTrialN': 0, 'thisRepN': 8}>
16.2921 	DATA 	Keypress: down
16.3067 	EXP 	Fixatin: autoDraw = False
16.3067 	EXP 	grating: autoDraw = False
16.3067 	EXP 	grating: ori = 0.0
16.3067 	EXP 	Fixatin: autoDraw = True
17.3068 	INFO 	Keyboard events cleared
17.3063 	EXP 	Fixatin: autoDraw = False
17.3063 	EXP 	grating: autoDraw = True
17.6061 	EXP 	grating: autoDraw = False
18.2575 	EXP 	New trial (rep=9, index=0): <Trial 9 (0 in rep 9) data={'thisN': 9, 'thisTrialN': 0, 'thisRepN': 9}>
18.2588 	DATA 	Keypress: up
18.2726 	EXP 	Fixatin: autoDraw = False
18.2726 	EXP 	grating: autoDraw = False
18.2726 	EXP 	grating: ori = 0.0
18.2726 	EXP 	Fixatin: autoDraw = True
19.2737 	INFO 	Keyboard events cleared
19.2729 	EXP 	Fixatin: autoDraw = False
19.2729 	EXP 	grating: autoDraw = True
19.5728 	EXP 	grating: autoDraw = False
20.0237 	EXP 	New trial (rep=10, index=0): <Trial 10 (0 in rep 10) data={'thisN': 10, 'thisTrialN': 0, 'thisRepN': 10}>
20.0248 	DATA 	Keypress: up
20.0393 	EXP 	Fixatin: autoDraw = False
20.0393 	EXP 	grating: autoDraw = False
20.0393 	EXP 	grating: ori = 1.0
20.0393 	EXP 	Fixatin: autoDraw = True
21.0234 	INFO 	Keyboard events cleared
21.0227 	EXP 	grating: autoDraw = True
21.0393 	EXP 	Fixatin: autoDraw = False
21.3226 	EXP 	grating: autoDraw = False
21.7737 	EXP 	New trial (rep=11, index=0): <Trial 11 (0 in rep 11) data={'thisN': 11, 'thisTrialN': 0, 'thisRepN': 11}>
21.7749 	DATA 	Keypress: up
21.7893 	EXP 	Fixatin: autoDraw = False
21.7893 	EXP 	grating: autoDraw = False
21.7893 	EXP 	grating: ori = 2.0
21.7893 	EXP 	Fixatin: autoDraw = True
22.7899 	INFO 	Keyboard events cleared
22.7894 	EXP 	Fixatin: autoDraw = False
22.7894 	EXP 	grating: autoDraw = True
23.0894 	EXP 	grating: autoDraw = False
23.6573 	EXP 	New trial (rep=12, index=0): <Trial 12 (0 in rep 12) data={'thisN': 12, 'thisTrialN': 0, 'thisRepN': 12}>
23.6585 	DATA 	Keypress: down
23.6726 	EXP 	Fixatin: autoDraw = False
23.6726 	EXP 	grating: autoDraw = False
23.6726 	EXP 	grating: ori = 0.0
23.6726 	EXP 	Fixatin: autoDraw = True
24.6568 	INFO 	Keyboard events cleared
24.6564 	EXP 	grating: autoDraw = True
24.6730 	EXP 	Fixatin: autoDraw = False
24.9563 	EXP 	grating: autoDraw = False
26.2407 	EXP 	New trial (rep=13, index=0): <Trial 13 (0 in rep 13) data={'thisN': 13, 'thisTrialN': 0, 'thisRepN': 13}>
26.2420 	DATA 	Keypress: up
26.2561 	EXP 	Fixatin: autoDraw = False
26.2561 	EXP 	grating: autoDraw = False
26.2561 	EXP 	grating: ori = -3.0
26.2561 	EXP 	Fixatin: autoDraw = True
27.2555 	INFO 	Keyboard events cleared
27.2552 	EXP 	grating: autoDraw = True
27.2718 	EXP 	Fixatin: autoDraw = False
27.5551 	EXP 	grating: autoDraw = False
27.9560 	EXP 	New trial (rep=14, index=0): <Trial 14 (0 in rep 14) data={'thisN': 14, 'thisTrialN': 0, 'thisRepN': 14}>
27.9572 	DATA 	Keypress: up
27.9715 	EXP 	Fixatin: autoDraw = False
27.9715 	EXP 	grating: autoDraw = False
27.9715 	EXP 	grating: ori = 4.0
27.9715 	EXP 	Fixatin: autoDraw = True
28.9723 	INFO 	Keyboard events cleared
28.9715 	EXP 	Fixatin: autoDraw = False
28.9715 	EXP 	grating: autoDraw = True
29.2715 	EXP 	grating: autoDraw = False
29.7070 	EXP 	New trial (rep=15, index=0): <Trial 15 (0 in rep 15) data={'thisN': 15, 'thisTrialN': 0, 'thisRepN': 15}>
29.7093 	DATA 	Keypress: down
29.7215 	EXP 	Fixatin: autoDraw = False
29.7215 	EXP 	grating: autoDraw = False
29.7215 	EXP 	grating: ori = 0.0
29.7215 	EXP 	Fixatin: autoDraw = True
30.7218 	INFO 	Keyboard events cleared
30.7213 	EXP 	Fixatin: autoDraw = False
30.7213 	EXP 	grating: autoDraw = True
31.0213 	EXP 	grating: autoDraw = False
31.4722 	EXP 	New trial (rep=16, index=0): <Trial 16 (0 in rep 16) data={'thisN': 16, 'thisTrialN': 0, 'thisRepN': 16}>
31.4730 	DATA 	Keypress: up
31.4881 	EXP 	Fixatin: autoDraw = False
31.4881 	EXP 	grating: autoDraw = False
31.4881 	EXP 	grating: ori = -3.0
31.4881 	EXP 	Fixatin: autoDraw = True
32.4879 	INFO 	Keyboard events cleared
32.4875 	EXP 	Fixatin: autoDraw = False
32.4875 	EXP 	grating: autoDraw = True
32.7874 	EXP 	grating: autoDraw = False
33.1219 	EXP 	New trial (rep=17, index=0): <Trial 17 (0 in rep 17) data={'thisN': 17, 'thisTrialN': 0, 'thisRepN': 17}>
33.1231 	DATA 	Keypress: up
33.1374 	EXP 	Fixatin: autoDraw = False
33.1374 	EXP 	grating: autoDraw = False
33.1374 	EXP 	grating: ori = 0.0
33.1374 	EXP 	Fixatin: autoDraw = True
34.1378 	INFO 	Keyboard events cleared
34.1373 	EXP 	Fixatin: autoDraw = False
34.1373 	EXP 	grating: autoDraw = True
34.4372 	EXP 	grating: autoDraw = False
34.8718 	EXP 	New trial (rep=18, index=0): <Trial 18 (0 in rep 18) data={'thisN': 18, 'thisTrialN': 0, 'thisRepN': 18}>
34.8730 	DATA 	Keypress: up
34.8873 	EXP 	Fixatin: autoDraw = False
34.8873 	EXP 	grating: autoDraw = False
34.8873 	EXP 	grating: ori = 0.0
34.8873 	EXP 	Fixatin: autoDraw = True
35.8877 	INFO 	Keyboard events cleared
35.8873 	EXP 	Fixatin: autoDraw = False
35.8873 	EXP 	grating: autoDraw = True
36.1871 	EXP 	grating: autoDraw = False
36.7551 	EXP 	New trial (rep=19, index=0): <Trial 19 (0 in rep 19) data={'thisN': 19, 'thisTrialN': 0, 'thisRepN': 19}>
36.7563 	DATA 	Keypress: up
36.7706 	EXP 	Fixatin: autoDraw = False
36.7706 	EXP 	grating: autoDraw = False
36.7706 	EXP 	grating: ori = 4.0
36.7706 	EXP 	Fixatin: autoDraw = True
37.7706 	INFO 	Keyboard events cleared
37.7701 	EXP 	Fixatin: autoDraw = False
37.7701 	EXP 	grating: autoDraw = True
38.0701 	EXP 	grating: autoDraw = False
38.6546 	EXP 	New trial (rep=20, index=0): <Trial 20 (0 in rep 20) data={'thisN': 20, 'thisTrialN': 0, 'thisRepN': 20}>
38.6555 	DATA 	Keypress: down
38.6703 	EXP 	Fixatin: autoDraw = False
38.6703 	EXP 	grating: autoDraw = False
38.6703 	EXP 	grating: ori = 1.0
38.6703 	EXP 	Fixatin: autoDraw = True
39.6705 	INFO 	Keyboard events cleared
