pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,Fixation.started,line_1.started,line_2.started,line_3.started,line_4.started,Fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,1.0433775000274181,None,0,0,0,0,,,,,0.02915654197568074,,0.021530041994992644,0.02915654197568074,1.0385133329837117,1.0385133329837117,1.0385133329837117,1.0385133329837117,1.0445979169744533,1.9948381249851082,1.9948381249851082,3.0693171249877196,x,1,1.0433775000274181,None,,,,,1,001,2024-11-18_22h11.11.707,Motor Sequence Learning,2024.2.4,None,2024-11-18 22h11.20.128953 +0530,
150,v,1,1,0,v,1,0.4547888340021018,None,0,1,1,1,,,,,3.0770357500005048,,3.0697447499842383,3.0770357500005048,4.070611249975627,4.070611249975627,4.070611249975627,4.070611249975627,4.070611249975627,5.062627041974338,5.062627041974338,5.519583082990721,v,1,0.4547888340021018,None,,,,,1,001,2024-11-18_22h11.11.707,Motor Sequence Learning,2024.2.4,None,2024-11-18 22h11.20.128953 +0530,
50,c,2,2,0,c,1,0.5484453329991084,None,0,2,2,2,,,,,5.52783179198741,,5.519996207993245,5.52783179198741,6.5155326669919305,6.5155326669919305,6.5155326669919305,6.5155326669919305,6.529767999978503,7.520589124993421,7.520589124993421,8.071272457978921,c,1,0.5484453329991084,None,,,,,1,001,2024-11-18_22h11.11.707,Motor Sequence Learning,2024.2.4,None,2024-11-18 22h11.20.128953 +0530,
-150,z,3,3,0,z,1,0.333156415988924,None,0,3,3,3,,,,,8.081897332973313,,8.07161487499252,8.081897332973313,9.079374124994501,9.079374124994501,9.079374124994501,9.079374124994501,9.096488374983892,10.07059049999225,10.07059049999225,10.41340499999933,z,1,0.333156415988924,None,,,,,1,001,2024-11-18_22h11.11.707,Motor Sequence Learning,2024.2.4,None,2024-11-18 22h11.20.128953 +0530,
-50,x,4,0,1,x,1,0.2983709169784561,None,1,0,4,0,,,,,10.422367999999551,,10.41373512498103,10.422367999999551,11.411274166981457,11.411274166981457,11.411274166981457,11.411274166981457,11.417911457974697,12.403978874994209,12.403978874994209,12.71501737498329,x,1,0.2983709169784561,None,,,,,1,001,2024-11-18_22h11.11.707,Motor Sequence Learning,2024.2.4,None,2024-11-18 22h11.20.128953 +0530,
150,v,5,1,1,v,1,0.30132829200010747,None,1,1,5,1,,,,,12.726417624973692,,12.715667457989184,12.726417624973692,13.713727166992612,13.713727166992612,13.713727166992612,13.713727166992612,13.720559457986383,14.712326416978613,14.712326416978613,15.021412207977846,v,1,0.30132829200010747,None,,,,,1,001,2024-11-18_22h11.11.707,Motor Sequence Learning,2024.2.4,None,2024-11-18 22h11.20.128953 +0530,
50,c,6,2,1,c,1,0.32655016699573025,None,1,2,6,2,,,,,15.032231041986961,,15.022023541998351,15.032231041986961,16.029268499987666,16.029268499987666,16.029268499987666,16.029268499987666,16.045995499996934,17.020291207998525,17.020291207998525,17.349019916990073,c,1,0.32655016699573025,None,,,,,1,001,2024-11-18_22h11.11.707,Motor Sequence Learning,2024.2.4,None,2024-11-18 22h11.20.128953 +0530,
-150,z,7,3,1,z,1,0.9896894170087762,None,1,3,7,3,,,,,17.358732124994276,,17.349623582995264,17.358732124994276,18.348204832989722,18.348204832989722,18.348204832989722,18.348204832989722,18.355901666975114,19.345644707995234,19.345644707995234,20.3483771669853,z,1,0.9896894170087762,None,,,,,1,001,2024-11-18_22h11.11.707,Motor Sequence Learning,2024.2.4,None,2024-11-18 22h11.20.128953 +0530,
-50,x,8,0,2,x,1,0.3496115000161808,None,2,0,8,0,,,,,20.362863624992315,,20.349082707980415,20.362863624992315,21.345742374978727,21.345742374978727,21.345742374978727,21.345742374978727,21.352784374990733,22.346311666973634,22.346311666973634,22.698253832990304,x,1,0.3496115000161808,None,,,,,1,001,2024-11-18_22h11.11.707,Motor Sequence Learning,2024.2.4,None,2024-11-18 22h11.20.128953 +0530,
150,v,9,1,2,v,1,0.2662584999925457,None,2,1,9,1,,,,,22.707833624997875,,22.698657542001456,22.707833624997875,23.696192457980942,23.696192457980942,23.696192457980942,23.696192457980942,23.703224582975963,24.694487166998442,24.694487166998442,24.96435324999038,v,1,0.2662584999925457,None,,,,,1,001,2024-11-18_22h11.11.707,Motor Sequence Learning,2024.2.4,None,2024-11-18 22h11.20.128953 +0530,
50,c,10,2,2,c,1,0.24332541701733135,None,2,2,10,2,,,,,24.973234666977078,,24.96468162498786,24.973234666977078,25.95740499999374,25.95740499999374,25.95740499999374,25.95740499999374,25.96446583297802,26.962952874979237,26.962952874979237,27.214074291987345,c,1,0.24332541701733135,None,,,,,1,001,2024-11-18_22h11.11.707,Motor Sequence Learning,2024.2.4,None,2024-11-18 22h11.20.128953 +0530,
-150,z,11,3,2,z,1,0.26862429099855945,None,2,3,11,3,,,,,27.222842749994015,,27.214389582979493,27.222842749994015,28.206355249974877,28.206355249974877,28.206355249974877,28.206355249974877,28.213394124992192,29.21296337500098,29.21296337500098,29.48634837497957,z,1,0.26862429099855945,None,,,,,1,001,2024-11-18_22h11.11.707,Motor Sequence Learning,2024.2.4,None,2024-11-18 22h11.20.128953 +0530,
-50,x,12,0,3,x,1,None,None,3,0,12,0,,,,,29.49721445798059,,29.486737792001804,29.49721445798059,30.48218041699147,30.48218041699147,30.48218041699147,30.48218041699147,30.48867137497291,31.478392541990615,31.478392541990615,31.836319707974326,x,1,None,None,,,,,1,001,2024-11-18_22h11.11.707,Motor Sequence Learning,2024.2.4,None,2024-11-18 22h11.20.128953 +0530,
150,v,13,1,3,v,1,0.2295218330109492,None,3,1,13,1,,,,,31.844591707980726,,31.83667587497621,31.844591707980726,32.829097707988694,32.829097707988694,32.829097707988694,32.829097707988694,32.83595087498543,33.827723624999635,33.827723624999635,34.06393762497464,v,1,0.2295218330109492,None,,,,,1,001,2024-11-18_22h11.11.707,Motor Sequence Learning,2024.2.4,None,2024-11-18 22h11.20.128953 +0530,
50,c,14,2,3,c,1,0.2597689160029404,None,3,2,14,2,,,,,34.07382370799314,,34.06426429198473,34.07382370799314,35.064017791999504,35.064017791999504,35.064017791999504,35.064017791999504,35.07098020799458,36.061758457974065,36.061758457974065,36.332230332976906,c,1,0.2597689160029404,None,,,,,1,001,2024-11-18_22h11.11.707,Motor Sequence Learning,2024.2.4,None,2024-11-18 22h11.20.128953 +0530,
-150,z,15,3,3,z,1,0.28267770798993297,None,3,3,15,3,,,,,36.34301616699668,,36.332726291992,36.34301616699668,37.333982916985406,37.333982916985406,37.333982916985406,37.333982916985406,37.34630208299495,38.32931474997895,38.32931474997895,38.61495683298563,z,1,0.28267770798993297,None,,,,,1,001,2024-11-18_22h11.11.707,Motor Sequence Learning,2024.2.4,None,2024-11-18 22h11.20.128953 +0530,
-50,x,16,0,4,x,1,0.2558548749948386,None,4,0,16,0,,,,,38.62473341697478,,38.61536408300162,38.62473341697478,39.616422416991554,39.616422416991554,39.616422416991554,39.616422416991554,39.62961862498196,40.612786916986806,40.612786916986806,40.87208516697865,x,1,0.2558548749948386,None,,,,,1,001,2024-11-18_22h11.11.707,Motor Sequence Learning,2024.2.4,None,2024-11-18 22h11.20.128953 +0530,
