delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,Fixation.stopped,Polygon.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,display_text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.7,400,exp,0,0,0,space,2.997479541998473,None,"
400",1,[9.112488790997304],[9.112492000000202],0,0,0,8,0.06618195900227875,,0.043681291994289495,0.06618195900227875,2.0878126669995254,2.9979642089892877,4.007866291998653,7.013362749989028,space,2.997479541998473,None,7.013813792000292,0.7068562920030672,1.0062287500040838,8.024818416990456,8.027232666994678,8.082221249991562,8.082221249991562,8.082221249991562,17.195093709000503,"
400",1,[9.112488790997304],[9.112492000000202],1,001,2024-11-14_21h55.51.674,intentional_bonding,2024.2.4,118.51407009814152,2024-11-14 21h56.07.399409 +0530,
0.4,1000,unexp,1,1,0,space,0.9417807909921976,None,"
200",1,[4.535991207987536],[4.535993874989799],0,1,1,1,17.20244720899791,,17.19527729199035,17.20244720899791,19.19341724998958,20.204047624996747,21.194406833994435,22.138873709001928,space,0.9417807909921976,None,22.140036249998957,0.4050813339999877,0.7055144170008134,22.84948637499474,22.852368041989394,22.87368137500016,22.87368137500016,22.87368137500016,27.40998483399744,"
200",1,[4.535991207987536],[4.535993874989799],1,001,2024-11-14_21h55.51.674,intentional_bonding,2024.2.4,118.51407009814152,2024-11-14 21h56.07.399409 +0530,
0.1,400,exp,2,2,0,space,0.16813695800374262,None,"
100",1,[2.3792281659989385],[2.3792309160053264],0,2,2,9,27.418850417001522,,27.410101999994367,27.418850417001522,29.41000395899755,30.40512641699752,31.403454166997108,31.579631959000835,space,0.16813695800374262,None,31.580277999993996,0.10662049999518786,0.40664691699203104,31.99152291700011,31.9935551249946,32.01433429199096,32.01433429199096,32.01433429199096,34.393841791999876,"
100",1,[2.3792281659989385],[2.3792309160053264],1,001,2024-11-14_21h55.51.674,intentional_bonding,2024.2.4,118.51407009814152,2024-11-14 21h56.07.399409 +0530,
0.7,400,exp,3,3,0,space,1.0160895830049412,None,"
500",1,[2.1102587500063237],[2.1102620840101736],0,3,3,5,34.40251533398987,,34.39395849998982,34.40251533398987,36.404692541997065,37.390070249995915,38.387477374999435,39.40611916698981,space,1.0160895830049412,None,39.407075541996164,0.7149588330066763,1.021184125012951,40.42798108399438,40.429627459001495,40.4500637500023,40.4500637500023,40.4500637500023,42.56062637499417,"
500",1,[2.1102587500063237],[2.1102620840101736],1,001,2024-11-14_21h55.51.674,intentional_bonding,2024.2.4,118.51407009814152,2024-11-14 21h56.07.399409 +0530,
0.4,1000,unexp,4,4,0,space,0.2314441250055097,None,"
25",1,[2.7819750829949044],[2.781977749997168],0,4,4,4,42.569030041995575,,42.560756999999285,42.569030041995575,44.5599502499972,45.55565487498825,46.554002708988264,46.7885320839996,space,0.2314441250055097,None,46.78960437499336,0.40648345900990535,0.7154253339977004,47.504906041998765,47.5072306249931,47.52818362499238,47.52818362499238,47.52818362499238,50.31043737499567,"
25",1,[2.7819750829949044],[2.781977749997168],1,001,2024-11-14_21h55.51.674,intentional_bonding,2024.2.4,118.51407009814152,2024-11-14 21h56.07.399409 +0530,
0.7,1000,unexp,5,5,0,space,0.37102170899743214,None,"
100",1,[4.953047874994809],[4.9530510420008795],0,5,5,2,50.31910908399732,,50.31055766699137,50.31910908399732,52.31074770899431,53.305884417000925,54.30400429198926,54.676872458992875,space,0.37102170899743214,None,54.67729579198931,0.7004043750057463,1.0000020839943318,55.68183699999645,55.68436883400136,55.7071754589997,55.7071754589997,55.7071754589997,60.66052174998913,"
100",1,[4.953047874994809],[4.9530510420008795],1,001,2024-11-14_21h55.51.674,intentional_bonding,2024.2.4,118.51407009814152,2024-11-14 21h56.07.399409 +0530,
0.4,400,exp,6,6,0,space,0.6787902089999989,None,"
50",1,[5.603012375009712],[5.6030152500025],0,6,6,7,60.66876395899453,,60.66067291700165,60.66876395899453,62.65972358400177,63.666302416997496,64.6539631249907,65.34112579199427,space,0.6787902089999989,None,65.34264562500175,0.40262795801390894,0.702966542012291,66.04897424999217,66.05107679199136,66.07425137500104,66.07425137500104,66.07425137500104,71.67765570899064,"
50",1,[5.603012375009712],[5.6030152500025],1,001,2024-11-14_21h55.51.674,intentional_bonding,2024.2.4,118.51407009814152,2024-11-14 21h56.07.399409 +0530,
0.1,1000,unexp,7,7,0,space,0.48843075000331737,None,"
20",1,[5.459546290992876],[5.459549291001167],0,7,7,3,71.68542791699292,,71.677813916991,71.68542791699292,73.68780200000037,74.68727070899331,75.68758737499593,76.18981179199181,space,0.48843075000331737,None,76.19133099999453,0.11455029199714772,0.4144878329971107,76.60955662500055,76.61134666699218,76.63364724999701,76.63364724999701,76.63364724999701,82.09357479200116,"
20",1,[5.459546290992876],[5.459549291001167],1,001,2024-11-14_21h55.51.674,intentional_bonding,2024.2.4,118.51407009814152,2024-11-14 21h56.07.399409 +0530,
0.1,1000,unexp,8,8,0,space,0.4656472499918891,None,"
10",1,[2.1543242920015473],[2.154327334006666],0,8,8,0,82.10188191699854,,82.09371387500141,82.10188191699854,84.09289208399423,85.08735224998964,86.0858960839978,86.55426495899155,space,0.4656472499918891,None,86.55540679200203,0.10573899999144487,0.407478084001923,86.96499162499094,86.96697008400224,86.98878062498989,86.98878062498989,86.98878062498989,89.14350479199493,"
10",1,[2.1543242920015473],[2.154327334006666],1,001,2024-11-14_21h55.51.674,intentional_bonding,2024.2.4,118.51407009814152,2024-11-14 21h56.07.399409 +0530,
0.1,400,exp,9,9,0,space,0.07352716699824668,None,"
100",1,[2.7559437500021886],[2.755946999997832],0,9,9,6,89.15206733399827,,89.1436364169931,89.15206733399827,91.14287412499834,92.13707741699181,93.13569258399366,93.21178912499454,space,0.07352716699824668,None,93.21216895899852,0.09934083400003146,0.39846304200182203,93.61483508399397,93.61656029199366,93.63694158400176,93.63694158400176,93.63694158400176,96.39319604200136,"
100",1,[2.7559437500021886],[2.755946999997832],1,001,2024-11-14_21h55.51.674,intentional_bonding,2024.2.4,118.51407009814152,2024-11-14 21h56.07.399409 +0530,
0.1,1000,unexp,10,0,1,space,1.068169083999237,None,"
200",1,[2.605714374993113],[2.605717333004577],1,0,10,0,96.40220916699036,,96.39333904199884,96.40220916699036,98.39277141699858,99.38916754200181,100.38645591698878,101.46162912499858,space,1.068169083999237,None,101.4620602089999,0.1086109169991687,0.41575008400832303,101.87806495898985,101.87969445899944,101.90384562499821,101.90384562499821,101.90384562499821,104.50985699999728,"
200",1,[2.605714374993113],[2.605717333004577],1,001,2024-11-14_21h55.51.674,intentional_bonding,2024.2.4,118.51407009814152,2024-11-14 21h56.07.399409 +0530,
0.4,1000,unexp,11,1,1,space,0.04071562500030268,None,"
200",1,[2.392366750005749],[2.392369916997268],1,1,11,1,104.51834908399906,,104.5100068749889,104.51834908399906,106.51060599999619,107.50395416699757,108.50238258398895,108.546570874998,space,0.04071562500030268,None,108.5476608339959,0.4070078330114484,0.7131259580055485,109.26035274998867,109.26206912499038,109.28399608399195,109.28399608399195,109.28399608399195,111.67666512499272,"
200",1,[2.392366750005749],[2.392369916997268],1,001,2024-11-14_21h55.51.674,intentional_bonding,2024.2.4,118.51407009814152,2024-11-14 21h56.07.399409 +0530,
0.1,1000,unexp,12,2,1,space,0.28876583400415257,None,"
10",1,[1.7505163329915376],[1.7505191669915803],1,2,12,3,111.6851017089939,,111.67678508399695,111.6851017089939,113.67591512500076,114.67241441700025,115.66901504198904,115.96007916699455,space,0.28876583400415257,None,115.96063783399586,0.09990820799430367,0.40052658299100585,116.36466604199086,116.36635066699819,116.39239449999877,116.39239449999877,116.39239449999877,118.14324220900016,"
10",1,[1.7505163329915376],[1.7505191669915803],1,001,2024-11-14_21h55.51.674,intentional_bonding,2024.2.4,118.51407009814152,2024-11-14 21h56.07.399409 +0530,
0.4,400,exp,13,3,1,space,1.2828969169931952,None,"
300",1,[1.719852375012124],[1.7198552500049118],1,3,13,7,118.15192841699172,,118.14336679199187,118.15192841699172,120.14327366699581,121.15333083400037,122.13544145900232,123.42151395899418,space,1.2828969169931952,None,123.42230187499081,0.40537962499365676,0.704611915993155,124.130674,124.13302204199135,124.15623637499812,124.15623637499812,124.15623637499812,125.87644454199472,"
300",1,[1.719852375012124],[1.7198552500049118],1,001,2024-11-14_21h55.51.674,intentional_bonding,2024.2.4,118.51407009814152,2024-11-14 21h56.07.399409 +0530,
0.1,400,exp,14,4,1,space,0.17974870900798123,None,"
300",1,[1.556955833992106],[1.5569587089994457],1,4,14,9,125.8852880839986,,125.87657899998885,125.8852880839986,127.87691449999693,128.87212799998815,129.8686554589949,130.05517045898887,space,0.17974870900798123,None,130.0555874999991,0.10387495798931923,0.4045366669888608,130.4643082919938,130.4664292499947,130.48652495899296,130.48652495899296,130.48652495899296,132.0438057499996,"
300",1,[1.556955833992106],[1.5569587089994457],1,001,2024-11-14_21h55.51.674,intentional_bonding,2024.2.4,118.51407009814152,2024-11-14 21h56.07.399409 +0530,
0.7,1000,unexp,15,5,1,space,0.5683731250028359,None,"
100",1,[7.654332625010284],[7.654335541999899],1,5,15,2,132.0519159589894,,132.04393408399483,132.0519159589894,134.04279354200116,135.0371669169981,136.03553566698974,136.60616170900175,space,0.5683731250028359,None,136.6070731249929,0.7031588749960065,1.0044432499998948,137.61441337499127,137.61682295899664,137.63799558399478,137.63799558399478,137.63799558399478,145.29264800000237,"
100",1,[7.654332625010284],[7.654335541999899],1,001,2024-11-14_21h55.51.674,intentional_bonding,2024.2.4,118.51407009814152,2024-11-14 21h56.07.399409 +0530,
0.4,1000,unexp,16,6,1,space,0.06597916600003373,None,"
200",1,[2.542487250000704],[2.5424904999963474],1,6,16,4,145.30164366700046,,145.2927683750022,145.30164366700046,147.290663458989,148.29759470900171,149.28657945898885,149.353560833988,space,0.06597916600003373,None,149.35394849999284,0.39956900000106543,0.6986127499985741,150.05832808399282,150.06073758398998,150.08338258399453,150.08338258399453,150.08338258399453,152.6262293339969,"
200",1,[2.542487250000704],[2.5424904999963474],1,001,2024-11-14_21h55.51.674,intentional_bonding,2024.2.4,118.51407009814152,2024-11-14 21h56.07.399409 +0530,
0.7,400,exp,17,7,1,space,0.19539120901026763,None,"
500",1,[2.648947291992954],[2.648950791990501],1,7,17,5,152.63508045898925,,152.62635616699117,152.63508045898925,154.6256304589915,155.62094962499395,156.61990066699218,156.82110358399223,space,0.19539120901026763,None,156.8220957089943,0.7049537920102011,1.005777834012406,157.83099249999213,157.83346399999573,157.8606534999999,157.8606534999999,157.8606534999999,160.5099359589949,"
500",1,[2.648947291992954],[2.648950791990501],1,001,2024-11-14_21h55.51.674,intentional_bonding,2024.2.4,118.51407009814152,2024-11-14 21h56.07.399409 +0530,
0.1,400,exp,18,8,1,space,0.46316520900290925,None,"
100",1,[4.3223348329920555],[4.322337665988016],1,8,18,6,160.51805333398806,,160.51006008399418,160.51805333398806,162.50930008399882,163.5036591669923,164.50194779199956,164.97060108400183,space,0.46316520900290925,None,164.97166087500227,0.10571341699687764,0.40520070800266694,165.3807057919912,165.38247608399251,165.40343558399763,165.40343558399763,165.40343558399763,169.72606424998958,"
100",1,[4.3223348329920555],[4.322337665988016],1,001,2024-11-14_21h55.51.674,intentional_bonding,2024.2.4,118.51407009814152,2024-11-14 21h56.07.399409 +0530,
0.7,400,exp,19,9,1,space,1.95936450001318,None,"
700",1,[5.568456000008155],[5.568459665999399],1,9,19,8,169.7348676249967,,169.72619137499714,169.7348676249967,171.72578495899506,172.72085258399602,173.7218293749902,175.68756083399057,space,1.95936450001318,None,175.68855474999873,0.7057826250093058,1.005972416998702,176.69892049999908,176.70156750000024,176.72431129199686,176.72431129199686,176.72431129199686,182.29311474999122,"
700",1,[5.568456000008155],[5.568459665999399],1,001,2024-11-14_21h55.51.674,intentional_bonding,2024.2.4,118.51407009814152,2024-11-14 21h56.07.399409 +0530,
0.4,1000,unexp,20,0,2,space,0.12810745798924472,None,"
75",1,[3.190191750007216],[3.1901947500009555],2,0,20,4,182.301176708992,,182.29324316699058,182.301176708992,184.2929637920024,185.2891095840023,186.28504454198992,186.4200414999941,space,0.12810745798924472,None,186.420490916993,0.4065606249932898,0.7069255829992471,187.13198370899772,187.13398641700041,187.15255370899104,187.15255370899104,187.15255370899104,190.3430435420014,"
75",1,[3.190191750007216],[3.1901947500009555],1,001,2024-11-14_21h55.51.674,intentional_bonding,2024.2.4,118.51407009814152,2024-11-14 21h56.07.399409 +0530,
0.1,1000,unexp,21,1,2,space,0.8173741669888841,None,"
30",1,[3.904765333994874],[3.9047680840012617],2,1,21,0,190.35119654198934,,190.34318604199507,190.35119654198934,192.34317258399096,193.3391431249911,194.33562120900024,195.15534895900055,space,0.8173741669888841,None,195.15638658399985,0.10448516700125765,0.40449804200034123,195.56507179199252,195.56704924999212,195.58744370899512,195.58744370899512,195.58744370899512,199.49255087500205,"
30",1,[3.904765333994874],[3.9047680840012617],1,001,2024-11-14_21h55.51.674,intentional_bonding,2024.2.4,118.51407009814152,2024-11-14 21h56.07.399409 +0530,
0.4,1000,unexp,22,2,2,space,0.8370557080052095,None,"
20",1,[1.81456570798764],[1.814569082998787],2,2,22,1,199.50141208399145,,199.49267183399934,199.50141208399145,201.49348416698922,202.50266683399968,203.48580891700112,204.33789804199478,space,0.8370557080052095,None,204.33921104199544,0.40637108399823774,0.7138474590028636,205.05271783399803,205.05520704199444,205.0776714169915,205.0776714169915,205.0776714169915,206.89253995899344,"
20",1,[1.81456570798764],[1.814569082998787],1,001,2024-11-14_21h55.51.674,intentional_bonding,2024.2.4,118.51407009814152,2024-11-14 21h56.07.399409 +0530,
0.1,400,exp,23,3,2,space,1.8034105410042685,None,"
400",1,[2.8508018749998882],[2.8508055830025114],2,3,23,9,206.90120220898825,,206.89266370898986,206.90120220898825,208.89310262499203,209.88857466699847,210.89428166700236,212.70309866699972,space,1.8034105410042685,None,212.70409145898884,0.10780729199177586,0.4152518750051968,213.11935449999874,213.121311875002,213.14155404199846,213.14155404199846,213.14155404199846,215.99268145899987,"
400",1,[2.8508018749998882],[2.8508055830025114],1,001,2024-11-14_21h55.51.674,intentional_bonding,2024.2.4,118.51407009814152,2024-11-14 21h56.07.399409 +0530,
