delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,Fixation.stopped,Polygon.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,display_text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.7,400,exp,0,0,0,space,0.5028743330040015,None,"
500",1,[3.1943024170032004],[3.1943062920036027],0,0,0,5,0.043831250004586764,,0.03573325001343619,0.043831250004586764,2.055655250005657,2.9984702080109855,3.9982916670123814,4.522090000013122,space,0.5028743330040015,None,4.5226652920100605,0.706757166000898,1.006719915996655,5.533443917011027,5.536461875002715,5.5682623330067145,5.5682623330067145,5.5682623330067145,8.762958833001903,"
500",1,[3.1943024170032004],[3.1943062920036027],436878,001,2024-11-14_23h30.04.346,intentional_bonding,2024.2.4,118.79365094186684,2024-11-14 23h30.11.711027 +0530,
0.4,1000,unexp,1,1,0,space,0.792957124998793,None,"
200",1,[1.0519018750055693],[1.0519042079977226],0,1,1,4,8.770188542010146,,8.7631364580011,8.770188542010146,10.76168070800486,11.7723050420027,12.754498125010286,13.558414917002665,space,0.792957124998793,None,13.558825208005146,0.4032547499955399,0.7040860410052119,14.266481375001604,14.268681500005187,14.292587750009261,14.292587750009261,14.292587750009261,15.344816167009412,"
200",1,[1.0519018750055693],[1.0519042079977226],436878,001,2024-11-14_23h30.04.346,intentional_bonding,2024.2.4,118.79365094186684,2024-11-14 23h30.11.711027 +0530,
0.1,1000,unexp,2,2,0,space,0.31570383299549576,None,"
40",1,[0.550104084002669],[0.5501075420033885],0,2,2,0,15.353574667009525,,15.344945208009449,15.353574667009525,17.346230792012648,18.338784833002137,19.337372250010958,19.65723591700953,space,0.31570383299549576,None,19.658389250005712,0.10449066599539947,0.4051173750049202,20.068546333000995,20.085167458004435,20.094732042009127,20.094732042009127,20.094732042009127,20.64514725000481,"
40",1,[0.550104084002669],[0.5501075420033885],436878,001,2024-11-14_23h30.04.346,intentional_bonding,2024.2.4,118.79365094186684,2024-11-14 23h30.11.711027 +0530,
0.4,1000,unexp,3,3,0,space,0.0009761669934960082,None,"
200",1,[1.2379326250083977],[1.237935084005585],0,3,3,1,20.653489875010564,,20.645272708003176,20.653489875010564,22.644645750013296,23.639769833011087,24.63715837500058,24.647273375012446,space,0.0009761669934960082,None,24.648225708006066,0.40688283400959335,0.7076407090062276,25.359122583002318,25.36064175001229,25.373363792008604,25.373363792008604,25.373363792008604,26.611600708012702,"
200",1,[1.2379326250083977],[1.237935084005585],436878,001,2024-11-14_23h30.04.346,intentional_bonding,2024.2.4,118.79365094186684,2024-11-14 23h30.11.711027 +0530,
0.1,400,exp,4,4,0,space,0.004821084003197029,None,"
40",1,[3.1953613749938086],[3.1953644579916727],0,4,4,9,26.62004266701115,,26.611728000003495,26.62004266701115,28.61178958301025,29.607855792011833,30.605646500000148,30.615410417012754,space,0.004821084003197029,None,30.615782667009626,0.10625100000470411,0.4059796250076033,31.02666100001079,31.028799000006984,31.050070875004167,31.050070875004167,31.050070875004167,34.24578670800838,"
40",1,[3.1953613749938086],[3.1953644579916727],436878,001,2024-11-14_23h30.04.346,intentional_bonding,2024.2.4,118.79365094186684,2024-11-14 23h30.11.711027 +0530,
0.7,400,exp,5,5,0,space,0.10597154199786019,None,"
45",1,[1.6535591249994468],[1.653562083010911],0,5,5,8,34.253446083006565,,34.245949667005334,34.253446083006565,36.25572725001257,37.25538120800047,38.24733475000539,38.35716345800029,space,0.10597154199786019,None,38.358611875009956,0.7046281249931781,1.0045564169995487,39.366649167001015,39.36896566700307,39.39146670800983,39.39146670800983,39.39146670800983,41.04531758300436,"
45",1,[1.6535591249994468],[1.653562083010911],436878,001,2024-11-14_23h30.04.346,intentional_bonding,2024.2.4,118.79365094186684,2024-11-14 23h30.11.711027 +0530,
0.1,400,exp,6,6,0,space,0.32696258400392253,None,"
30",1,[1.5395675410109106],[1.5395704160036985],0,6,6,6,41.05326016701292,,41.045457667001756,41.05326016701292,43.04406020800525,44.04096304200357,45.036974750008085,45.37283733300865,space,0.32696258400392253,None,45.373304375010775,0.10456558299483731,0.40717033299733885,45.78229254200414,45.784049292007694,45.80425733300217,45.80425733300217,45.80425733300217,47.3441206250136,"
30",1,[1.5395675410109106],[1.5395704160036985],436878,001,2024-11-14_23h30.04.346,intentional_bonding,2024.2.4,118.79365094186684,2024-11-14 23h30.11.711027 +0530,
0.7,1000,unexp,7,7,0,space,0.22826345899375156,None,"
10",1,[1.2545905419974588],[1.2545940419950057],0,7,7,2,47.353556166999624,,47.344234708012664,47.353556166999624,49.34511691700027,50.33880358301394,51.33693858300103,51.572351417009486,space,0.22826345899375156,None,51.572732292013825,0.706307000000379,1.0054269999964163,52.58280287501111,52.58531750000839,52.60598416700668,52.60598416700668,52.60598416700668,53.86086054200132,"
10",1,[1.2545905419974588],[1.2545940419950057],436878,001,2024-11-14_23h30.04.346,intentional_bonding,2024.2.4,118.79365094186684,2024-11-14 23h30.11.711027 +0530,
0.4,400,exp,8,8,0,space,33.465698917003465,None,"
500",1,[1.9339428329985822],[1.9339462920033839],0,8,8,7,53.870293042011326,,53.860987375010154,53.870293042011326,55.87179741701402,56.87201766700309,57.85378383300849,91.34200870800123,space,33.465698917003465,None,91.34526770800585,0.40188591698824894,0.7018757499899948,92.0492540000123,92.0540352500102,92.07942995800113,92.07942995800113,92.07942995800113,94.01381533300446,"
500",1,[1.9339428329985822],[1.9339462920033839],436878,001,2024-11-14_23h30.04.346,intentional_bonding,2024.2.4,118.79365094186684,2024-11-14 23h30.11.711027 +0530,
0.1,1000,unexp,9,9,0,space,0.965415041995584,None,"
30",1,[1.4394714170048246],[1.4394748750055442],0,9,9,3,94.01964358300029,,94.01438487500127,94.01964358300029,96.02160616700712,97.02367991700885,98.05624325000099,99.02314562500396,space,0.965415041995584,None,99.02361375000328,0.11517483300121967,0.42174224999325816,99.44549958300195,99.44685120800568,99.47008416701283,99.47008416701283,99.47008416701283,100.90995112500968,"
30",1,[1.4394714170048246],[1.4394748750055442],436878,001,2024-11-14_23h30.04.346,intentional_bonding,2024.2.4,118.79365094186684,2024-11-14 23h30.11.711027 +0530,
0.7,1000,unexp,10,0,1,space,1.445219500004896,None,"
100",1,[1.7256587080046302],[1.7256613330100663],1,0,10,2,100.91978716700396,,100.91008679200604,100.91978716700396,102.91167033300735,103.90533908300858,104.9039839580073,106.35489733300346,space,1.445219500004896,None,106.35622350001358,0.6997554169938667,0.999466624998604,107.35975820801104,107.36227320801117,107.38472962500236,107.38472962500236,107.38472962500236,109.11071395801264,"
100",1,[1.7256587080046302],[1.7256613330100663],436878,001,2024-11-14_23h30.04.346,intentional_bonding,2024.2.4,118.79365094186684,2024-11-14 23h30.11.711027 +0530,
0.7,400,exp,11,1,1,space,0.4368882919952739,None,"
90",1,[1.9603922500100452],[1.960395125002833],1,1,11,5,109.11956591700437,,109.11087308300193,109.11956591700437,111.11207379201369,112.10509708301106,113.10405533300946,113.54833358300675,space,0.4368882919952739,None,113.54937379200419,0.7050410000083502,1.0056106250121957,114.55886341701262,114.56130154200946,114.58376154200232,114.58376154200232,114.58376154200232,116.54446520800411,"
90",1,[1.9603922500100452],[1.960395125002833],436878,001,2024-11-14_23h30.04.346,intentional_bonding,2024.2.4,118.79365094186684,2024-11-14 23h30.11.711027 +0530,
0.1,1000,unexp,12,2,1,space,0.09086583400494419,None,"
45",1,[1.2094734999991488],[1.2094760830077576],1,2,12,0,116.55268195801182,,116.54458991700085,116.55268195801182,118.54359433300851,119.55421775000286,120.5363417500048,120.62925870800973,space,0.09086583400494419,None,120.62981337500969,0.1084564170014346,0.4075899169984041,121.04169204201025,121.04393120801251,121.06738345800841,121.06738345800841,121.06738345800841,122.2771820420021,"
45",1,[1.2094734999991488],[1.2094760830077576],436878,001,2024-11-14_23h30.04.346,intentional_bonding,2024.2.4,118.79365094186684,2024-11-14 23h30.11.711027 +0530,
0.4,1000,unexp,13,3,1,space,0.06860204199620057,None,"
24",1,[1.9563610829936806],[1.9563634579972131],1,3,13,4,122.28626274999988,,122.27731979200325,122.28626274999988,124.27711158301099,125.27190041700669,126.26982141700864,126.34548458301288,space,0.06860204199620057,None,126.34590695801307,0.4090517080039717,0.7157862500025658,127.06207900001027,127.06382741700509,127.08760508301202,127.08760508301202,127.08760508301202,129.044270917002,"
24",1,[1.9563610829936806],[1.9563634579972131],436878,001,2024-11-14_23h30.04.346,intentional_bonding,2024.2.4,118.79365094186684,2024-11-14 23h30.11.711027 +0530,
0.1,400,exp,14,4,1,space,15.190702666994184,None,"
57",1,[1.127416709001409],[1.1274192919954658],1,4,14,6,129.05253200000152,,129.0443910000031,129.05253200000152,131.04421879201254,132.03949570801342,133.03792058301042,148.23061954200966,space,15.190702666994184,None,148.2314885000087,0.10694662500463892,0.40633954100485425,148.64255370800674,148.64461329201004,148.66649954199966,148.66649954199966,148.66649954199966,149.79424491700775,"
57",1,[1.127416709001409],[1.1274192919954658],436878,001,2024-11-14_23h30.04.346,intentional_bonding,2024.2.4,118.79365094186684,2024-11-14 23h30.11.711027 +0530,
0.1,400,exp,15,5,1,space,0.24133437500859145,None,"
24",1,[1.1115322499972535],[1.111535707997973],1,5,15,9,149.80271358300524,,149.79437500001222,149.80271358300524,151.79467250000744,152.78881270800775,153.7868819580035,154.0306175420119,space,0.24133437500859145,None,154.03174366700114,0.10658212500857189,0.40577583300182596,154.44160083300085,154.4437570420123,154.46492437500274,154.46492437500274,154.46492437500274,155.5767713330133,"
24",1,[1.1115322499972535],[1.111535707997973],436878,001,2024-11-14_23h30.04.346,intentional_bonding,2024.2.4,118.79365094186684,2024-11-14 23h30.11.711027 +0530,
