delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,Fixation.stopped,Polygon.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,display_text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.1,400,exp,0,0,0,space,0.5641879169997992,None,"
600",1,[2.632169167001848],[2.632172209006967],0,0,0,9,0.055486084005679004,,0.044304625000222586,0.055486084005679004,2.052134166995529,2.9973776249971706,3.9939924999926006,4.570470916994964,space,0.5641879169997992,None,4.570926749991486,0.10544129200570751,0.4068018329999177,4.981157458998496,4.985064541993779,5.020052084000781,5.020052084000781,5.020052084000781,7.652583792005316,"
600",1,[2.632169167001848],[2.632172209006967],156803,001,2024-11-14_23h19.21.375,intentional_bonding,2024.2.4,121.46228343977585,2024-11-14 23h19.26.567837 +0530,
0.1,400,exp,1,1,0,space,2.1094951669947477,None,"
100",1,[1.8867127500125207],[1.8867151660087984],0,1,1,6,7.657321916994988,,7.652741833997425,7.657321916994988,9.652362334003556,10.64685454199207,11.642839833992184,13.755063083997811,space,2.1094951669947477,None,13.755610624997644,0.10507620799762663,0.4063389999937499,14.165441874996759,14.167625292000594,14.190488833992276,14.190488833992276,14.190488833992276,16.07749895899906,"
100",1,[1.8867127500125207],[1.8867151660087984],156803,001,2024-11-14_23h19.21.375,intentional_bonding,2024.2.4,121.46228343977585,2024-11-14 23h19.26.567837 +0530,
0.7,400,exp,2,2,0,space,0.30311016700579785,None,"
300 ",1,[1.2690307500015479],[1.2690332499914803],0,2,2,8,16.085623209000914,,16.077634959001443,16.085623209000914,18.076304583999445,19.086663209003746,20.071530000001076,20.378137541993055,space,0.30311016700579785,None,20.37865545900422,0.6995380830048816,0.9998080420045881,21.38281220900535,21.385343834001105,21.40781629200501,21.40781629200501,21.40781629200501,22.677140208994388,"
300 ",1,[1.2690307500015479],[1.2690332499914803],156803,001,2024-11-14_23h19.21.375,intentional_bonding,2024.2.4,121.46228343977585,2024-11-14 23h19.26.567837 +0530,
0.7,400,exp,3,3,0,space,0.2231856250000419,None,"
900",1,[2.41124991599645],[2.411252499994589],0,3,3,5,22.6852297919977,,22.677281625001342,22.6852297919977,24.676799459004542,25.686476000002585,26.66976533399429,26.89680704199418,space,0.2231856250000419,None,26.898223041993333,0.7054070000012871,1.0053707920014858,27.90715587500017,27.909418084003846,27.93182045899448,27.93182045899448,27.93182045899448,30.343384749998222,"
900",1,[2.41124991599645],[2.411252499994589],156803,001,2024-11-14_23h19.21.375,intentional_bonding,2024.2.4,121.46228343977585,2024-11-14 23h19.26.567837 +0530,
0.4,1000,unexp,4,4,0,space,2.080624791997252,None,"
1000",1,[2.3020337500056485],[2.302036541994312],0,4,4,1,30.351594334002584,,30.34351512500143,30.351594334002584,32.345140417004586,33.3370606249955,34.33522254199488,36.420558583995444,space,2.080624791997252,None,36.421686542002135,0.406486624997342,0.7072930419963086,37.1320673750015,37.13419854200038,37.157709124992834,37.157709124992834,37.157709124992834,39.46007220899628,"
1000",1,[2.3020337500056485],[2.302036541994312],156803,001,2024-11-14_23h19.21.375,intentional_bonding,2024.2.4,121.46228343977585,2024-11-14 23h19.26.567837 +0530,
0.7,1000,unexp,5,5,0,space,0.2050429590017302,None,"
300",1,[1.7990394579974236],[1.7990425000025425],0,5,5,2,39.468337500002235,,39.460188958997605,39.468337500002235,41.45700979199319,42.478119833991514,43.45192649999808,43.66197674999421,space,0.2050429590017302,None,43.66251454199664,0.6992731249920325,0.9984663749928586,44.665413666996756,44.66774049999367,44.69368520900025,44.69368520900025,44.69368520900025,46.493018459004816,"
300",1,[1.7990394579974236],[1.7990425000025425],156803,001,2024-11-14_23h19.21.375,intentional_bonding,2024.2.4,121.46228343977585,2024-11-14 23h19.26.567837 +0530,
0.1,1000,unexp,6,6,0,space,2.6928170419996604,None,"
30",1,[2.4881874580023577],[2.4881898330058903],0,6,6,0,46.50155412500317,,46.493139500002144,46.50155412500317,48.49283479199221,49.488882459001616,50.48588829199434,53.18969379199552,space,2.6928170419996604,None,53.19005033400026,0.1036244160059141,0.40418150000914466,53.599004292002064,53.60123800000292,53.62131733399292,53.62131733399292,53.62131733399292,56.10981858399464,"
30",1,[2.4881874580023577],[2.4881898330058903],156803,001,2024-11-14_23h19.21.375,intentional_bonding,2024.2.4,121.46228343977585,2024-11-14 23h19.26.567837 +0530,
0.1,1000,unexp,7,7,0,space,3.845019125001272,None,"
200",1,[2.737532999992254],[2.7375353329989593],0,7,7,3,56.1181507089932,,56.10994362499332,56.1181507089932,58.110182208998594,59.119619000004604,60.10285737499362,63.95417749999615,space,3.845019125001272,None,63.95455325000512,0.10585337498923764,0.4058114169893088,64.36519949999638,64.36746795900399,64.3886090839951,64.3886090839951,64.3886090839951,67.12646650000534,"
200",1,[2.737532999992254],[2.7375353329989593],156803,001,2024-11-14_23h19.21.375,intentional_bonding,2024.2.4,121.46228343977585,2024-11-14 23h19.26.567837 +0530,
0.4,1000,unexp,8,8,0,space,3.14215262500511,None,"
50",1,[0.995806791994255],[0.9958111669984646],0,8,8,4,67.13494145899313,,67.12659145900398,67.13494145899313,69.12655600000289,70.13620108399482,71.11898104200372,74.27220799999486,space,3.14215262500511,None,74.27343758399365,0.4041578339965781,0.7054552089975914,74.98127533399384,74.98351945899776,75.00357016699854,75.00357016699854,75.00357016699854,75.99995870899875,"
50",1,[0.995806791994255],[0.9958111669984646],156803,001,2024-11-14_23h19.21.375,intentional_bonding,2024.2.4,121.46228343977585,2024-11-14 23h19.26.567837 +0530,
0.4,400,exp,9,9,0,space,0.5097091249917867,None,"
30",1,[0.7192201249999925],[0.7192225420003524],0,9,9,7,76.00541545900342,,76.00011454199557,76.00541545900342,78.00198120900313,78.99633500000346,79.99350554199191,80.50543229200412,space,0.5097091249917867,None,80.50618949999625,0.40367154200794175,0.7040901250002207,81.21441666700412,81.21682862499438,81.23991454199131,81.23991454199131,81.23991454199131,81.95951091700408,"
30",1,[0.7192201249999925],[0.7192225420003524],156803,001,2024-11-14_23h19.21.375,intentional_bonding,2024.2.4,121.46228343977585,2024-11-14 23h19.26.567837 +0530,
