reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,text.started,key_resp.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
27,50,21,0,0,0,l,0.8014820409989625,None,0,0,0,2,0.042826000000786735,,0.03365604099963093,0.042826000000786735,1.0096768330004124,1.0096768330004124,1.03439787500065,1.8524847909993696,l,0.8014820409989625,None,3,001,2024-11-30_15h19.42.202,Delay Discounting,2024.2.4,116.73918232083851,2024-11-30 15h19.59.118220 +0530,
40,55,62,1,1,0,l,0.02689079199990374,None,0,1,1,3,1.870737666000423,,1.8577873750000435,1.870737666000423,2.853538249999474,2.853538249999474,2.8624970830005623,2.8883889999997336,l,0.02689079199990374,None,3,001,2024-11-30_15h19.42.202,Delay Discounting,2024.2.4,116.73918232083851,2024-11-30 15h19.59.118220 +0530,
78,80,162,2,2,0,t,0.05004620899853762,None,0,2,2,6,2.90397508299975,,2.8961663330010197,2.90397508299975,3.8832867500004795,3.8832867500004795,3.8994680409996363,3.9441218329993717,t,0.05004620899853762,None,3,001,2024-11-30_15h19.42.202,Delay Discounting,2024.2.4,116.73918232083851,2024-11-30 15h19.59.118220 +0530,
15,35,13,3,3,0,l,0.10070762500072306,None,0,3,3,1,3.9571895410008437,,3.9495243330002268,3.9571895410008437,4.958508290999816,4.958508290999816,4.958508290999816,5.067312666000362,l,0.10070762500072306,None,3,001,2024-11-30_15h19.42.202,Delay Discounting,2024.2.4,116.73918232083851,2024-11-30 15h19.59.118220 +0530,
49,60,89,4,4,0,l,0.01281570900027873,None,0,4,4,4,5.0845013750004,,5.075863041000048,5.0845013750004,6.065883540999494,6.065883540999494,6.080882915999609,6.082712290999552,l,0.01281570900027873,None,3,001,2024-11-30_15h19.42.202,Delay Discounting,2024.2.4,116.73918232083851,2024-11-30 15h19.59.118220 +0530,
11,30,7,5,5,0,t,0.09069991599972127,None,0,5,5,0,6.096001249999972,,6.087460541000837,6.096001249999972,7.081498333000127,7.081498333000127,7.09216854099941,7.175554290999571,t,0.09069991599972127,None,3,001,2024-11-30_15h19.42.202,Delay Discounting,2024.2.4,116.73918232083851,2024-11-30 15h19.59.118220 +0530,
67,76,119,6,6,0,t,0.057976791000328376,None,0,6,6,5,7.188150083000437,,7.179852875000506,7.188150083000437,8.167496083000515,8.167496083000515,8.192189249999501,8.228241208000327,t,0.057976791000328376,None,3,001,2024-11-30_15h19.42.202,Delay Discounting,2024.2.4,116.73918232083851,2024-11-30 15h19.59.118220 +0530,
40,55,62,7,0,1,l,0.0496435000004567,None,1,0,7,3,8.243744499999593,,8.233816416000991,8.243744499999593,9.224366750000627,9.224366750000627,9.241036416000497,9.281492833000812,l,0.0496435000004567,None,3,001,2024-11-30_15h19.42.202,Delay Discounting,2024.2.4,116.73918232083851,2024-11-30 15h19.59.118220 +0530,
78,80,162,8,1,1,l,0.02878983400114521,None,1,1,8,6,9.295097791000444,,9.2859493750002,9.295097791000444,10.27558450000106,10.27558450000106,10.292162208001173,10.309639625000273,l,0.02878983400114521,None,3,001,2024-11-30_15h19.42.202,Delay Discounting,2024.2.4,116.73918232083851,2024-11-30 15h19.59.118220 +0530,
27,50,21,9,2,1,t,0.054101124998851446,None,1,2,9,2,10.322496541000874,,10.314315707999413,10.322496541000874,11.30451470800108,11.30451470800108,11.325367458000983,11.362376375000167,t,0.054101124998851446,None,3,001,2024-11-30_15h19.42.202,Delay Discounting,2024.2.4,116.73918232083851,2024-11-30 15h19.59.118220 +0530,
67,76,119,10,3,1,t,0.01785866700083716,None,1,3,10,5,11.374086207999426,,11.366212832999736,11.374086207999426,12.357937541000865,12.357937541000865,12.366118666001057,12.384607875001166,t,0.01785866700083716,None,3,001,2024-11-30_15h19.42.202,Delay Discounting,2024.2.4,116.73918232083851,2024-11-30 15h19.59.118220 +0530,
11,30,7,11,4,1,t,0.11202637499991397,None,1,4,11,0,12.401004958001067,,12.39171504099977,12.401004958001067,13.38363974999993,13.38363974999993,13.392366457999742,13.502299125000718,t,0.11202637499991397,None,3,001,2024-11-30_15h19.42.202,Delay Discounting,2024.2.4,116.73918232083851,2024-11-30 15h19.59.118220 +0530,
15,35,13,12,5,1,t,0.1530758330009121,None,1,5,12,1,13.517131583001174,,13.508759791000557,13.517131583001174,14.505739583000832,14.505739583000832,14.512078083000233,14.6690793329999,t,0.1530758330009121,None,3,001,2024-11-30_15h19.42.202,Delay Discounting,2024.2.4,116.73918232083851,2024-11-30 15h19.59.118220 +0530,
49,60,89,13,6,1,t,0.046811459000309696,None,1,6,13,4,14.68292241600102,,14.674871916000484,14.68292241600102,15.667137915999774,15.667137915999774,15.675865208000687,15.716449875000762,t,0.046811459000309696,None,3,001,2024-11-30_15h19.42.202,Delay Discounting,2024.2.4,116.73918232083851,2024-11-30 15h19.59.118220 +0530,
11,30,7,14,0,2,l,0.018335499999011518,None,2,0,14,0,15.72944245799954,,15.720666208000694,15.72944245799954,16.70862237500114,16.70862237500114,16.726762874999622,16.729704790999676,l,0.018335499999011518,None,3,001,2024-11-30_15h19.42.202,Delay Discounting,2024.2.4,116.73918232083851,2024-11-30 15h19.59.118220 +0530,
67,76,119,15,1,2,l,0.04582158300036099,None,2,1,15,5,16.743884666000667,,16.735031750000417,16.743884666000667,17.72931891600092,17.72931891600092,17.7423410829997,17.79378050000014,l,0.04582158300036099,None,3,001,2024-11-30_15h19.42.202,Delay Discounting,2024.2.4,116.73918232083851,2024-11-30 15h19.59.118220 +0530,
15,35,13,16,2,2,l,0.07420570800059068,None,2,2,16,1,17.809862375001103,,17.79940833299952,17.809862375001103,18.792096708000827,18.792096708000827,18.80857441599983,18.86788845800038,l,0.07420570800059068,None,3,001,2024-11-30_15h19.42.202,Delay Discounting,2024.2.4,116.73918232083851,2024-11-30 15h19.59.118220 +0530,
49,60,89,17,3,2,l,0.057436832999883336,None,2,3,17,4,18.880490333000125,,18.872358041000552,18.880490333000125,19.866693625001062,19.866693625001062,19.875097083000583,19.92627295800048,l,0.057436832999883336,None,3,001,2024-11-30_15h19.42.202,Delay Discounting,2024.2.4,116.73918232083851,2024-11-30 15h19.59.118220 +0530,
78,80,162,18,4,2,t,0.044104083001002437,None,2,4,18,6,19.93852754100044,,19.930427540999517,19.93852754100044,20.92601170800117,20.92601170800117,20.933770166000613,20.976344500000778,t,0.044104083001002437,None,3,001,2024-11-30_15h19.42.202,Delay Discounting,2024.2.4,116.73918232083851,2024-11-30 15h19.59.118220 +0530,
40,55,62,19,5,2,t,0.08107516699965345,None,2,5,19,3,20.988805541001057,,20.981389083000977,20.988805541001057,21.972823665999385,21.972823665999385,21.980285916000867,22.059635916000843,t,0.08107516699965345,None,3,001,2024-11-30_15h19.42.202,Delay Discounting,2024.2.4,116.73918232083851,2024-11-30 15h19.59.118220 +0530,
27,50,21,20,6,2,l,0.04074608399969293,None,2,6,20,2,22.072118915999454,,22.06405870799972,22.072118915999454,23.058175457999823,23.058175457999823,23.070854999999938,23.10386570800074,l,0.04074608399969293,None,3,001,2024-11-30_15h19.42.202,Delay Discounting,2024.2.4,116.73918232083851,2024-11-30 15h19.59.118220 +0530,
49,60,89,21,0,3,t,0.0756684160005534,None,3,0,21,4,23.1166143749997,,23.108218625000518,23.1166143749997,24.099756916000842,24.099756916000842,24.10830920800072,24.18367145800039,t,0.0756684160005534,None,3,001,2024-11-30_15h19.42.202,Delay Discounting,2024.2.4,116.73918232083851,2024-11-30 15h19.59.118220 +0530,
11,30,7,22,1,3,t,0.06616616700011946,None,3,1,22,0,24.1962059159996,,24.187936665999587,24.1962059159996,25.18171904100018,25.18171904100018,25.19191041600061,25.250397666000936,t,0.06616616700011946,None,3,001,2024-11-30_15h19.42.202,Delay Discounting,2024.2.4,116.73918232083851,2024-11-30 15h19.59.118220 +0530,
78,80,162,23,2,3,t,0.0018532920003053732,None,3,2,23,6,25.262680707999607,,25.254264875000445,25.262680707999607,26.258782000000792,26.258782000000792,26.275752290999662,26.278051499999492,t,0.0018532920003053732,None,3,001,2024-11-30_15h19.42.202,Delay Discounting,2024.2.4,116.73918232083851,2024-11-30 15h19.59.118220 +0530,
67,76,119,24,3,3,t,0.05779029200130026,None,3,3,24,5,26.29287770799965,,26.283428165999794,26.29287770799965,27.275685750000775,27.275685750000775,27.28393933299958,27.34300291600084,t,0.05779029200130026,None,3,001,2024-11-30_15h19.42.202,Delay Discounting,2024.2.4,116.73918232083851,2024-11-30 15h19.59.118220 +0530,
15,35,13,25,4,3,l,0.07510412500050734,None,3,4,25,1,27.355467499999577,,27.34655279100116,27.355467499999577,28.332959040999413,28.332959040999413,28.348922749999474,28.416994375000286,l,0.07510412500050734,None,3,001,2024-11-30_15h19.42.202,Delay Discounting,2024.2.4,116.73918232083851,2024-11-30 15h19.59.118220 +0530,
40,55,62,26,5,3,l,0.07079295899893623,None,3,5,26,3,28.42935212500015,,28.421566291001,28.42935212500015,29.416832000000795,29.416832000000795,29.42789516599987,29.494582540999545,l,0.07079295899893623,None,3,001,2024-11-30_15h19.42.202,Delay Discounting,2024.2.4,116.73918232083851,2024-11-30 15h19.59.118220 +0530,
27,50,21,27,6,3,t,0.02327066599900718,None,3,6,27,2,29.508743541000513,,29.49957783299942,29.508743541000513,30.49146962499981,30.49146962499981,30.503629291000834,30.526419916001032,t,0.02327066599900718,None,3,001,2024-11-30_15h19.42.202,Delay Discounting,2024.2.4,116.73918232083851,2024-11-30 15h19.59.118220 +0530,
40,55,62,28,0,4,t,0.059985416000927216,None,4,0,28,3,30.538335082999765,,30.530709165999724,30.538335082999765,31.52418254099939,31.52418254099939,31.53241520800111,31.593591832999664,t,0.059985416000927216,None,3,001,2024-11-30_15h19.42.202,Delay Discounting,2024.2.4,116.73918232083851,2024-11-30 15h19.59.118220 +0530,
11,30,7,29,1,4,l,0.03560000000106811,None,4,1,29,0,31.606813583000985,,31.59843166599967,31.606813583000985,32.591008916000646,32.591008916000646,32.598003166000126,32.634456333000344,l,0.03560000000106811,None,3,001,2024-11-30_15h19.42.202,Delay Discounting,2024.2.4,116.73918232083851,2024-11-30 15h19.59.118220 +0530,
49,60,89,30,2,4,l,0.0614395840002544,None,4,2,30,4,32.6462109160002,,32.638779000000795,32.6462109160002,33.64238566600034,33.64238566600034,33.650781083000766,33.71109170800082,l,0.0614395840002544,None,3,001,2024-11-30_15h19.42.202,Delay Discounting,2024.2.4,116.73918232083851,2024-11-30 15h19.59.118220 +0530,
67,76,119,31,3,4,t,0.03341966600055457,None,4,3,31,5,33.72364204100086,,33.71593179100091,33.72364204100086,34.70941183300056,34.70941183300056,34.71710945800078,34.750683874999595,t,0.03341966600055457,None,3,001,2024-11-30_15h19.42.202,Delay Discounting,2024.2.4,116.73918232083851,2024-11-30 15h19.59.118220 +0530,
78,80,162,32,4,4,t,0.049551416999747744,None,4,4,32,6,34.76252791600018,,34.75479320799968,34.76252791600018,35.74779866599965,35.74779866599965,35.758646000000226,35.79977504099952,t,0.049551416999747744,None,3,001,2024-11-30_15h19.42.202,Delay Discounting,2024.2.4,116.73918232083851,2024-11-30 15h19.59.118220 +0530,
27,50,21,33,5,4,t,0.08544920799977263,None,4,5,33,2,35.81247691600038,,35.80356424999991,35.81247691600038,36.79075479099993,36.79075479099993,36.80759625000064,36.882907790999525,t,0.08544920799977263,None,3,001,2024-11-30_15h19.42.202,Delay Discounting,2024.2.4,116.73918232083851,2024-11-30 15h19.59.118220 +0530,
15,35,13,34,6,4,l,0.016592457999649923,None,4,6,34,1,36.89598766600102,,36.88709220800047,36.89598766600102,37.8751292500001,37.8751292500001,37.89503395800057,37.89672087500003,l,0.016592457999649923,None,3,001,2024-11-30_15h19.42.202,Delay Discounting,2024.2.4,116.73918232083851,2024-11-30 15h19.59.118220 +0530,
15,35,13,35,0,5,l,0.10019283300061943,None,5,0,35,1,37.90674150000086,,37.89705641600085,37.90674150000086,38.89188620800087,38.89188620800087,38.89815308300058,38.9943497080003,l,0.10019283300061943,None,3,001,2024-11-30_15h19.42.202,Delay Discounting,2024.2.4,116.73918232083851,2024-11-30 15h19.59.118220 +0530,
11,30,7,36,1,5,t,0.13656766600070114,None,5,1,36,0,39.00760366600116,,38.99989925000045,39.00760366600116,39.99133045800045,39.99133045800045,40.00001054099994,40.13607983300062,t,0.13656766600070114,None,3,001,2024-11-30_15h19.42.202,Delay Discounting,2024.2.4,116.73918232083851,2024-11-30 15h19.59.118220 +0530,
49,60,89,37,2,5,t,0.11659412500011967,None,5,2,37,4,40.15006816599998,,40.14209991600001,40.15006816599998,41.131503165999675,41.131503165999675,41.149121208,41.25239875000079,t,0.11659412500011967,None,3,001,2024-11-30_15h19.42.202,Delay Discounting,2024.2.4,116.73918232083851,2024-11-30 15h19.59.118220 +0530,
67,76,119,38,3,5,t,0.024124083000060637,None,5,3,38,5,41.26705425,,41.257556374999695,41.26705425,42.250646415999654,42.250646415999654,42.25793416600027,42.27668870799971,t,0.024124083000060637,None,3,001,2024-11-30_15h19.42.202,Delay Discounting,2024.2.4,116.73918232083851,2024-11-30 15h19.59.118220 +0530,
40,55,62,39,4,5,l,0.008401541001148871,None,5,4,39,3,42.29012904100091,,42.28108654100106,42.29012904100091,43.274086125000395,43.274086125000395,43.281996583000364,43.29359887499959,l,0.008401541001148871,None,3,001,2024-11-30_15h19.42.202,Delay Discounting,2024.2.4,116.73918232083851,2024-11-30 15h19.59.118220 +0530,
27,50,21,40,5,5,l,0.14999600000010105,None,5,5,40,2,43.30744608299938,,43.29847625000002,43.30744608299938,44.29213758300102,44.29213758300102,44.29848691600091,44.44449999999961,l,0.14999600000010105,None,3,001,2024-11-30_15h19.42.202,Delay Discounting,2024.2.4,116.73918232083851,2024-11-30 15h19.59.118220 +0530,
78,80,162,41,6,5,t,2.845687541999723,None,5,6,41,6,44.45792962499945,,44.44903449999947,44.45792962499945,45.442572916001154,45.442572916001154,45.45129787500082,48.293518041000425,t,2.845687541999723,None,3,001,2024-11-30_15h19.42.202,Delay Discounting,2024.2.4,116.73918232083851,2024-11-30 15h19.59.118220 +0530,
67,76,119,42,0,6,l,0.0964344580006582,None,6,0,42,5,48.31057958299971,,48.29900720800106,48.31057958299971,49.295634000000064,49.295634000000064,49.30864441599988,49.39425758300058,l,0.0964344580006582,None,3,001,2024-11-30_15h19.42.202,Delay Discounting,2024.2.4,116.73918232083851,2024-11-30 15h19.59.118220 +0530,
78,80,162,43,1,6,l,0.008217040998715675,None,6,1,43,6,49.40773629100113,,49.39862479099975,49.40773629100113,50.39091287500014,50.39091287500014,50.3990134579999,50.40162116600004,l,0.008217040998715675,None,3,001,2024-11-30_15h19.42.202,Delay Discounting,2024.2.4,116.73918232083851,2024-11-30 15h19.59.118220 +0530,
11,30,7,44,2,6,t,0.059108833000209415,None,6,2,44,0,50.41418283300118,,50.405959457999415,50.41418283300118,51.398926707999635,51.398926707999635,51.41223416600042,51.46020708300057,t,0.059108833000209415,None,3,001,2024-11-30_15h19.42.202,Delay Discounting,2024.2.4,116.73918232083851,2024-11-30 15h19.59.118220 +0530,
15,35,13,45,3,6,t,0.05211366699950304,None,6,3,45,1,51.472219332999885,,51.46427491600116,51.472219332999885,52.463180083001134,52.463180083001134,52.463180083001134,52.517204540999955,t,0.05211366699950304,None,3,001,2024-11-30_15h19.42.202,Delay Discounting,2024.2.4,116.73918232083851,2024-11-30 15h19.59.118220 +0530,
27,50,21,46,4,6,t,0.0680186669997056,None,6,4,46,2,52.52884620800069,,52.521117791000506,52.52884620800069,53.51967458299987,53.51967458299987,53.52713229099936,53.59240608300024,t,0.0680186669997056,None,3,001,2024-11-30_15h19.42.202,Delay Discounting,2024.2.4,116.73918232083851,2024-11-30 15h19.59.118220 +0530,
49,60,89,47,5,6,l,0.01844462500048394,None,6,5,47,4,53.60452350000014,,53.59643295800015,53.60452350000014,54.581422666000435,54.581422666000435,54.59948174999954,54.60835504100032,l,0.01844462500048394,None,3,001,2024-11-30_15h19.42.202,Delay Discounting,2024.2.4,116.73918232083851,2024-11-30 15h19.59.118220 +0530,
40,55,62,48,6,6,l,0.0934201670006587,None,6,6,48,3,54.61988383300013,,54.612508624999464,54.61988383300013,55.60902991600051,55.60902991600051,55.61529116600104,55.71037762500055,l,0.0934201670006587,None,3,001,2024-11-30_15h19.42.202,Delay Discounting,2024.2.4,116.73918232083851,2024-11-30 15h19.59.118220 +0530,
