reward_today,future_reward,delay,delay_raw,future_reward_raw,key_resp.duration_raw,key_resp.keys_raw,key_resp.rt_raw,reward_today_raw,thisN_raw,thisRepN_raw,thisTrialN_raw
11,30,7,21,50,,l,0.8014820409989625,27,0,0,0
15,35,13,62,55,,l,0.02689079199990374,40,1,0,1
27,50,21,162,80,,t,0.05004620899853762,78,2,0,2
40,55,62,13,35,,l,0.10070762500072306,15,3,0,3
49,60,89,89,60,,l,0.01281570900027873,49,4,0,4
67,76,119,7,30,,t,0.09069991599972127,11,5,0,5
78,80,162,119,76,,t,0.057976791000328376,67,6,0,6

extraInfo
participant,3
session,001
date,2024-11-30_15h19.42.202
expName,Delay Discounting
psychopyVersion,2024.2.4
frameRate,116.73918232083851
expStart,2024-11-30 15h19.59.118220 +0530
