reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,text.started,key_resp.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
40,55,62,0,0,0,t,5.0135075409998535,None,0,0,0,3,0.09174791700024798,,0.042759417001434485,0.09174791700024798,1.0185955830002058,1.0185955830002058,1.0804297080012475,6.066284375001487,t,5.0135075409998535,None,1,001,2024-11-30_15h00.57.359,Delay Discounting,2024.2.4,119.17933065272366,2024-11-30 15h01.05.641411 +0530,
78,80,162,1,1,0,l,0.2644012089986063,None,0,1,1,6,6.085970707999877,,6.071997458000624,6.085970707999877,7.065893417000552,7.065893417000552,7.083198917000118,7.334592083001553,l,0.2644012089986063,None,1,001,2024-11-30_15h00.57.359,Delay Discounting,2024.2.4,119.17933065272366,2024-11-30 15h01.05.641411 +0530,
27,50,21,2,2,0,t,0.5460266249992856,None,0,2,2,2,7.364417000000685,,7.341564125001241,7.364417000000685,8.332857082999908,8.332857082999908,8.358858333000171,8.883655083000122,t,0.5460266249992856,None,1,001,2024-11-30_15h00.57.359,Delay Discounting,2024.2.4,119.17933065272366,2024-11-30 15h01.05.641411 +0530,
49,60,89,3,3,0,l,0.3651400830003695,None,0,3,3,4,8.903044583001247,,8.8929794579999,8.903044583001247,9.875185958000657,9.875185958000657,9.899900958000217,10.243927583000186,l,0.3651400830003695,None,1,001,2024-11-30_15h00.57.359,Delay Discounting,2024.2.4,119.17933065272366,2024-11-30 15h01.05.641411 +0530,
15,35,13,4,4,0,t,0.8616805000001477,None,0,4,4,1,10.264181125001414,,10.252661917000296,10.264181125001414,11.240352958000585,11.240352958000585,11.25834791700072,12.109358375000738,t,0.8616805000001477,None,1,001,2024-11-30_15h00.57.359,Delay Discounting,2024.2.4,119.17933065272366,2024-11-30 15h01.05.641411 +0530,
67,76,119,5,5,0,t,0.6883664169999975,None,0,5,5,5,12.12484462500106,,12.114432292000856,12.12484462500106,13.106893583000783,13.106893583000783,13.124076916999911,13.80447975000061,t,0.6883664169999975,None,1,001,2024-11-30_15h00.57.359,Delay Discounting,2024.2.4,119.17933065272366,2024-11-30 15h01.05.641411 +0530,
11,30,7,6,6,0,l,0.3517852500008303,None,0,6,6,0,13.823774958000286,,13.811175917000583,13.823774958000286,14.799386125001547,14.799386125001547,14.816669375000856,15.159279250001418,l,0.3517852500008303,None,1,001,2024-11-30_15h00.57.359,Delay Discounting,2024.2.4,119.17933065272366,2024-11-30 15h01.05.641411 +0530,
78,80,162,7,0,1,t,0.45547416699992027,None,1,0,7,6,15.173706625000705,,15.163198958000066,15.173706625000705,16.15699808300087,16.15699808300087,16.165169375000914,16.61710608300018,t,0.45547416699992027,None,1,001,2024-11-30_15h00.57.359,Delay Discounting,2024.2.4,119.17933065272366,2024-11-30 15h01.05.641411 +0530,
67,76,119,8,1,1,l,0.44563312500031316,None,1,1,8,5,16.63236741700166,,16.622800083001493,16.63236741700166,17.616659917001016,17.616659917001016,17.625128333000248,18.06753283300168,l,0.44563312500031316,None,1,001,2024-11-30_15h00.57.359,Delay Discounting,2024.2.4,119.17933065272366,2024-11-30 15h01.05.641411 +0530,
27,50,21,9,2,1,t,0.24563937499988242,None,1,2,9,2,18.085828042001594,,18.074746416999915,18.085828042001594,19.066441625000152,19.066441625000152,19.083557708001536,19.31723908300046,t,0.24563937499988242,None,1,001,2024-11-30_15h00.57.359,Delay Discounting,2024.2.4,119.17933065272366,2024-11-30 15h01.05.641411 +0530,
11,30,7,10,3,1,l,0.22124258300027577,None,1,3,10,0,19.33369895800024,,19.323578542000178,19.33369895800024,20.316224542000782,20.316224542000782,20.325100542000655,20.54351595800108,l,0.22124258300027577,None,1,001,2024-11-30_15h00.57.359,Delay Discounting,2024.2.4,119.17933065272366,2024-11-30 15h01.05.641411 +0530,
15,35,13,11,4,1,t,0.3377532499998779,None,1,4,11,1,20.561290833000385,,20.549506042001667,20.561290833000385,21.541239333000703,21.541239333000703,21.55842266700165,21.884397249999893,t,0.3377532499998779,None,1,001,2024-11-30_15h00.57.359,Delay Discounting,2024.2.4,119.17933065272366,2024-11-30 15h01.05.641411 +0530,
40,55,62,12,5,1,l,0.33481641599973955,None,1,5,12,3,21.90305966699998,,21.891298375001497,21.90305966699998,22.88256687500143,22.88256687500143,22.89898520800125,23.225597458000266,l,0.33481641599973955,None,1,001,2024-11-30_15h00.57.359,Delay Discounting,2024.2.4,119.17933065272366,2024-11-30 15h01.05.641411 +0530,
