reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,text.started,key_resp.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
67,76,119,0,0,0,l,2.0724377909973555,None,0,0,0,5,0.04101704099957715,,0.03389716599849635,0.04101704099957715,1.0071768329980841,1.0071768329980841,1.0312967909994768,3.1137813329987694,l,2.0724377909973555,None,1,001,2024-11-21_19h00.03.784,Delay Discounting,2024.2.4,120.65242703803729,2024-11-21 19h00.18.325806 +0530,
15,35,13,1,1,0,t,0.30994695799745386,None,0,1,1,1,3.132176040999184,,3.1192692079966946,3.132176040999184,4.106667707997985,4.106667707997985,4.124221790996671,4.425930540997797,t,0.30994695799745386,None,1,001,2024-11-21_19h00.03.784,Delay Discounting,2024.2.4,120.65242703803729,2024-11-21 19h00.18.325806 +0530,
11,30,7,2,2,0,l,0.17076608299976215,None,0,2,2,0,4.44496099999742,,4.4342702079993614,4.44496099999742,5.423924624999927,5.423924624999927,5.441622957998334,5.599895915998786,l,0.17076608299976215,None,1,001,2024-11-21_19h00.03.784,Delay Discounting,2024.2.4,120.65242703803729,2024-11-21 19h00.18.325806 +0530,
27,50,21,3,3,0,t,0.2745500829987577,None,0,3,3,2,5.619840874998772,,5.609667332999379,5.619840874998772,6.598589707999054,6.598589707999054,6.615495957998064,6.8833024999985355,t,0.2745500829987577,None,1,001,2024-11-21_19h00.03.784,Delay Discounting,2024.2.4,120.65242703803729,2024-11-21 19h00.18.325806 +0530,
49,60,89,4,4,0,l,0.3489175830000022,None,0,4,4,4,6.901850749996811,,6.893251249999594,6.901850749996811,7.875491124999826,7.875491124999826,7.924517624996952,8.22752083299929,l,0.3489175830000022,None,1,001,2024-11-21_19h00.03.784,Delay Discounting,2024.2.4,120.65242703803729,2024-11-21 19h00.18.325806 +0530,
78,80,162,5,5,0,t,0.2576274579987512,None,0,5,5,6,8.2506958749982,,8.232991499997297,8.2506958749982,9.225070874999801,9.225070874999801,9.242839332997391,9.486747332997766,t,0.2576274579987512,None,1,001,2024-11-21_19h00.03.784,Delay Discounting,2024.2.4,120.65242703803729,2024-11-21 19h00.18.325806 +0530,
40,55,62,6,6,0,l,0.7877122919999238,None,0,6,6,3,9.505027290997532,,9.493557124998915,9.505027290997532,10.481567957998777,10.481567957998777,10.499027499998192,11.275193832996592,l,0.7877122919999238,None,1,001,2024-11-21_19h00.03.784,Delay Discounting,2024.2.4,120.65242703803729,2024-11-21 19h00.18.325806 +0530,
