7.0613 	INFO 	Loaded monitor calibration from ['2024_10_29 21:52']
7.2181 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fbb82acc6a0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fbb82acc280>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=False, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fbb8274e070>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([3420, 2224]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.2181 	EXP 	window1: backgroundImage = ''
7.2182 	EXP 	window1: backgroundFit = 'none'
7.2264 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.2274 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.2285 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.2301 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.2316 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.2321 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.2331 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.2348 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.2349 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.2351 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.2363 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.2373 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.2384 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.2394 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.2402 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.2414 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.2425 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.2429 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.2433 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.2449 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
