reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,text.started,key_resp.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
15,35,13,0,0,0,l,6.0138001249997615,None,0,0,0,1,0.04170024999984889,,0.03385462500045833,0.04170024999984889,0.9995590830003493,0.9995590830003493,1.0323522079997929,7.049303499999951,l,6.0138001249997615,None,4,001,2024-11-30_15h25.19.574,Delay Discounting,2024.2.4,None,2024-11-30 15h25.27.619413 +0530,
11,30,7,1,1,0,l,0.08347058300023491,None,0,1,1,0,7.066682042001048,,7.054191332999835,7.066682042001048,8.042301749999751,8.042301749999751,8.059726875000706,8.134698292000394,l,0.08347058300023491,None,4,001,2024-11-30_15h25.19.574,Delay Discounting,2024.2.4,None,2024-11-30 15h25.27.619413 +0530,
40,55,62,2,2,0,l,0.14625516699925356,None,0,2,2,3,8.16172000000006,,8.146687166999982,8.16172000000006,9.131656667001153,9.131656667001153,9.158164208000017,9.284303624999666,l,0.14625516699925356,None,4,001,2024-11-30_15h25.19.574,Delay Discounting,2024.2.4,None,2024-11-30 15h25.27.619413 +0530,
67,76,119,3,3,0,l,0.1290221670005849,None,0,3,3,5,9.299995458000922,,9.291413625000132,9.299995458000922,10.292829916999835,10.292829916999835,10.301185833001,10.425257375000001,l,0.1290221670005849,None,4,001,2024-11-30_15h25.19.574,Delay Discounting,2024.2.4,None,2024-11-30 15h25.27.619413 +0530,
78,80,162,4,4,0,t,0.005068665999715449,None,0,4,4,6,10.438906499999575,,10.43041629199979,10.438906499999575,11.416772792001211,11.416772792001211,11.446433125000112,11.428305292000005,t,0.005068665999715449,None,4,001,2024-11-30_15h25.19.574,Delay Discounting,2024.2.4,None,2024-11-30 15h25.27.619413 +0530,
27,50,21,5,5,0,t,0.04958641700068256,None,0,5,5,2,11.446433125000112,,11.434103957999469,11.446433125000112,12.441901416999826,12.441901416999826,12.459349333001228,12.502070708000247,t,0.04958641700068256,None,4,001,2024-11-30_15h25.19.574,Delay Discounting,2024.2.4,None,2024-11-30 15h25.27.619413 +0530,
49,60,89,6,6,0,t,0.21196783300001698,None,0,6,6,4,12.516244458000074,,12.507800499999576,12.516244458000074,13.501210958000229,13.501210958000229,13.51051470800121,13.718136125000456,t,0.21196783300001698,None,4,001,2024-11-30_15h25.19.574,Delay Discounting,2024.2.4,None,2024-11-30 15h25.27.619413 +0530,
15,35,13,7,0,1,t,None,None,1,0,7,1,13.73565116700047,,13.725246625001091,13.73565116700047,14.716798041999937,14.716798041999937,14.735057457999574,14.800814583000829,t,None,None,4,001,2024-11-30_15h25.19.574,Delay Discounting,2024.2.4,None,2024-11-30 15h25.27.619413 +0530,
49,60,89,8,1,1,l,0.10272633300155576,None,1,1,8,4,14.812848833000317,,14.805128250000053,14.812848833000317,15.80945179199989,15.80945179199989,15.816559750001034,15.914284542001042,l,0.10272633300155576,None,4,001,2024-11-30_15h25.19.574,Delay Discounting,2024.2.4,None,2024-11-30 15h25.27.619413 +0530,
27,50,21,9,2,1,t,0.04687079200084554,None,1,2,9,2,15.941725083001074,,15.91874554199967,15.941725083001074,16.911660625000877,16.911660625000877,16.931676833000893,16.96200825000051,t,0.04687079200084554,None,4,001,2024-11-30_15h25.19.574,Delay Discounting,2024.2.4,None,2024-11-30 15h25.27.619413 +0530,
67,76,119,10,3,1,l,0.14350624999860884,None,1,3,10,5,16.97508554200067,,16.9659162500011,16.97508554200067,17.95846837499994,17.95846837499994,17.965418625000893,18.110115082999982,l,0.14350624999860884,None,4,001,2024-11-30_15h25.19.574,Delay Discounting,2024.2.4,None,2024-11-30 15h25.27.619413 +0530,
78,80,162,11,4,1,t,0.007889250000516768,None,1,4,11,6,18.12262499999997,,18.114253916999587,18.12262499999997,19.107963542001016,19.107963542001016,19.116430083000523,19.118309041999964,t,0.007889250000516768,None,4,001,2024-11-30_15h25.19.574,Delay Discounting,2024.2.4,None,2024-11-30 15h25.27.619413 +0530,
11,30,7,12,5,1,t,0.10071912500097824,None,1,5,12,0,19.13000820799971,,19.122513500000423,19.13000820799971,20.112858417000098,20.112858417000098,20.125844833000883,20.21923112500008,t,0.10071912500097824,None,4,001,2024-11-30_15h25.19.574,Delay Discounting,2024.2.4,None,2024-11-30 15h25.27.619413 +0530,
40,55,62,13,6,1,t,0.08894962500016845,None,1,6,13,3,20.233571500000835,,20.225269624999783,20.233571500000835,21.220298707999973,21.220298707999973,21.228222625000853,21.31165854200117,t,0.08894962500016845,None,4,001,2024-11-30_15h25.19.574,Delay Discounting,2024.2.4,None,2024-11-30 15h25.27.619413 +0530,
40,55,62,14,0,2,t,0.10138429099970381,None,2,0,14,3,21.32070966700121,,21.312049083000602,21.32070966700121,22.308058500000698,22.308058500000698,22.315854750000653,22.41725341700112,t,0.10138429099970381,None,4,001,2024-11-30_15h25.19.574,Delay Discounting,2024.2.4,None,2024-11-30 15h25.27.619413 +0530,
67,76,119,15,1,2,t,0.10960054099996341,None,2,1,15,5,22.429771917000835,,22.421493083000314,22.429771917000835,23.416753167000934,23.416753167000934,23.426464792000843,23.536238000000594,t,0.10960054099996341,None,4,001,2024-11-30_15h25.19.574,Delay Discounting,2024.2.4,None,2024-11-30 15h25.27.619413 +0530,
78,80,162,16,2,2,l,None,None,2,2,16,6,23.548741083001005,,23.540443750000122,23.548741083001005,24.534674667000218,24.534674667000218,24.54657941699952,24.610335291999945,l,None,None,4,001,2024-11-30_15h25.19.574,Delay Discounting,2024.2.4,None,2024-11-30 15h25.27.619413 +0530,
11,30,7,17,3,2,l,0.09048566700039373,None,2,3,17,0,24.62124629200116,,24.61475341699952,24.62124629200116,25.609357417000865,25.609357417000865,25.617243374999816,25.701234833000854,l,0.09048566700039373,None,4,001,2024-11-30_15h25.19.574,Delay Discounting,2024.2.4,None,2024-11-30 15h25.27.619413 +0530,
15,35,13,18,4,2,t,0.04304916700129979,None,2,4,18,1,25.713241041999936,,25.7054863329995,25.713241041999936,26.699452541999563,26.699452541999563,26.708189500001026,26.74380183300127,t,0.04304916700129979,None,4,001,2024-11-30_15h25.19.574,Delay Discounting,2024.2.4,None,2024-11-30 15h25.27.619413 +0530,
