thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,thisRow.t,notes,num_distr,trial.started,Fixation.started,Target.started,mouse.started,Fixation.stopped,trial.stopped,Trials.mouse.x,Trials.mouse.y,Trials.mouse.leftButton,Trials.mouse.midButton,Trials.mouse.rightButton,Trials.mouse.time,Trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,[-0.2916666666666667],[0.011574074074074073],[1],[0],[0],[1.733778000343591],['Target'],0,0,0,0,0.07521719997748733,,10,0.0442714998498559,0.07521719997748733,0.07521719997748733,0.04397179977968335,1.0768273998983204,1.7788447001948953,[-0.2916666666666667],[0.011574074074074073],[1],[0],[0],[1.733778000343591],['Target'],3,003,2024-10-10_21h32.03.772,Visual Search Task,2024.2.1post4,60.04549041847582,2024-10-10 21h32.17.720214 +0530,
1,0,1,[0.3958333333333333],[0.3402777777777778],[1],[0],[0],[1.8924105004407465],['Target'],1,0,1,0,1.8250783998519182,,5,1.8019389999099076,1.8250783998519182,1.8250783998519182,0.022764999885112047,2.8266044999472797,3.6951593002304435,[0.3958333333333333],[0.3402777777777778],[1],[0],[0],[1.8924105004407465],['Target'],3,003,2024-10-10_21h32.03.772,Visual Search Task,2024.2.1post4,60.04549041847582,2024-10-10 21h32.17.720214 +0530,
2,0,2,[-0.38657407407407407],[-0.02546296296296296],[1],[0],[0],[1.6894859001040459],['Target'],2,0,2,0,3.758387300185859,,10,3.737930600065738,3.758387300185859,3.758387300185859,0.042497099842876196,4.759844100102782,5.428226000163704,[-0.38657407407407407],[-0.02546296296296296],[1],[0],[0],[1.6894859001040459],['Target'],3,003,2024-10-10_21h32.03.772,Visual Search Task,2024.2.1post4,60.04549041847582,2024-10-10 21h32.17.720214 +0530,
3,0,3,[-0.48032407407407407],[0.4444444444444444],[1],[0],[0],[1.9632408996112645],['Target'],3,0,3,0,5.491177699994296,,10,5.464456600137055,5.491177699994296,5.491177699994296,0.03588620014488697,6.493179600220174,7.428559000138193,[-0.48032407407407407],[0.4444444444444444],[1],[0],[0],[1.9632408996112645],['Target'],3,003,2024-10-10_21h32.03.772,Visual Search Task,2024.2.1post4,60.04549041847582,2024-10-10 21h32.17.720214 +0530,
4,0,4,[0.2708333333333333],[-0.4537037037037037],[1],[0],[0],[3.504672300070524],['Target'],4,0,4,0,7.474344400223345,,5,7.456831300165504,7.474344400223345,7.474344400223345,0.02800250006839633,8.47598069999367,10.962409399915487,[0.2708333333333333],[-0.4537037037037037],[1],[0],[0],[3.504672300070524],['Target'],3,003,2024-10-10_21h32.03.772,Visual Search Task,2024.2.1post4,60.04549041847582,2024-10-10 21h32.17.720214 +0530,
5,0,5,[0.17939814814814814],[-0.4652777777777778],[1],[0],[0],[2.8427710002288222],['Target'],5,0,5,0,11.024099899921566,,10,11.000811600126326,11.024099899921566,11.024099899921566,0.03813049988821149,12.025498500093818,13.844321299809963,[0.17939814814814814],[-0.4652777777777778],[1],[0],[0],[2.8427710002288222],['Target'],3,003,2024-10-10_21h32.03.772,Visual Search Task,2024.2.1post4,60.04549041847582,2024-10-10 21h32.17.720214 +0530,
6,0,6,[-0.40162037037037035],[0.1863425925925926],[1],[0],[0],[1.5253415000624955],['Target'],6,0,6,0,13.907113899942487,,10,13.884131699800491,13.907113899942487,13.907113899942487,0.03955900017172098,14.908398100174963,15.410259299911559,[-0.40162037037037035],[0.1863425925925926],[1],[0],[0],[1.5253415000624955],['Target'],3,003,2024-10-10_21h32.03.772,Visual Search Task,2024.2.1post4,60.04549041847582,2024-10-10 21h32.17.720214 +0530,
7,0,7,[-0.4710648148148148],[0.17939814814814814],[1],[0],[0],[1.71746820025146],['Target'],7,0,7,0,15.473585799802095,,10,15.444625299889594,15.473585799802095,15.473585799802095,0.03403400024399161,16.474830199964345,17.162841899786144,[-0.4710648148148148],[0.17939814814814814],[1],[0],[0],[1.71746820025146],['Target'],3,003,2024-10-10_21h32.03.772,Visual Search Task,2024.2.1post4,60.04549041847582,2024-10-10 21h32.17.720214 +0530,
8,0,8,[-0.03935185185185185],[-0.23842592592592593],[1],[0],[0],[2.337935999967158],['Target'],8,0,8,0,17.223205300047994,,10,17.204733499791473,17.223205300047994,17.223205300047994,0.04155500000342727,18.22471440024674,19.543480600230396,[-0.03935185185185185],[-0.23842592592592593],[1],[0],[0],[2.337935999967158],['Target'],3,003,2024-10-10_21h32.03.772,Visual Search Task,2024.2.1post4,60.04549041847582,2024-10-10 21h32.17.720214 +0530,
9,0,9,[0.43171296296296297],[-0.2708333333333333],[1],[0],[0],[2.4728907998651266],['Target'],9,0,9,0,19.58961659995839,,5,19.568860200233757,19.58961659995839,19.58961659995839,0.024997399654239416,20.59090259997174,22.04259489988908,[0.43171296296296297],[-0.2708333333333333],[1],[0],[0],[2.4728907998651266],['Target'],3,003,2024-10-10_21h32.03.772,Visual Search Task,2024.2.1post4,60.04549041847582,2024-10-10 21h32.17.720214 +0530,
