thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,thisRow.t,notes,num_distr,trial.started,Fixation.started,Target.started,mouse.started,Fixation.stopped,trial.stopped,Trials.mouse.x,Trials.mouse.y,Trials.mouse.leftButton,Trials.mouse.midButton,Trials.mouse.rightButton,Trials.mouse.time,Trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,[-0.13078703703703703],[-0.05555555555555555],[1],[0],[0],[2.275076299905777],['Target'],0,0,0,0,0.081565200118348,,10,0.059716599993407726,0.081565200118348,0.081565200118348,0.059466199949383736,1.082108300179243,2.3356270999647677,[-0.13078703703703703],[-0.05555555555555555],[1],[0],[0],[2.275076299905777],['Target'],981936,001,2024-10-04_12h03.15.693,Visual Search Task,2024.2.1post4,60.05014181679504,2024-10-04 12h03.26.712753 +0530,
1,0,1,[-0.29398148148148145],[-0.35532407407407407],[1],[0],[0],[1.6708635000977665],['Target'],1,0,1,0,2.397267100168392,,10,2.3795486001763493,2.397267100168392,2.397267100168392,0.04357969993725419,3.398532500024885,4.051215100102127,[-0.29398148148148145],[-0.35532407407407407],[1],[0],[0],[1.6708635000977665],['Target'],981936,001,2024-10-04_12h03.15.693,Visual Search Task,2024.2.1post4,60.05014181679504,2024-10-04 12h03.26.712753 +0530,
2,0,2,[-0.35532407407407407],[0.29976851851851855],[1],[0],[0],[1.575082999886945],['Target'],2,0,2,0,4.096965300152078,,5,4.074804000090808,4.096965300152078,4.096965300152078,0.02326579997316003,5.098284600069746,5.650694000069052,[-0.35532407407407407],[0.29976851851851855],[1],[0],[0],[1.575082999886945],['Target'],981936,001,2024-10-04_12h03.15.693,Visual Search Task,2024.2.1post4,60.05014181679504,2024-10-04 12h03.26.712753 +0530,
3,0,3,[0.35185185185185186],[-0.46296296296296297],[1],[0],[0],[1.8527196999639273],['Target'],3,0,3,0,5.69651859998703,,5,5.679826700128615,5.69651859998703,5.69651859998703,0.02888090000487864,6.698206500150263,7.533378500025719,[0.35185185185185186],[-0.46296296296296297],[1],[0],[0],[1.8527196999639273],['Target'],981936,001,2024-10-04_12h03.15.693,Visual Search Task,2024.2.1post4,60.05014181679504,2024-10-04 12h03.26.712753 +0530,
4,0,4,[0.2048611111111111],[-0.29050925925925924],[1],[0],[0],[1.508400399936363],['Target'],4,0,4,0,7.579916700022295,,5,7.557981600053608,7.579916700022295,7.579916700022295,0.02432339987717569,8.581443600123748,9.067134100012481,[0.2048611111111111],[-0.29050925925925924],[1],[0],[0],[1.508400399936363],['Target'],981936,001,2024-10-04_12h03.15.693,Visual Search Task,2024.2.1post4,60.05014181679504,2024-10-04 12h03.26.712753 +0530,
5,0,5,[-0.041666666666666664],[-0.4236111111111111],[1],[0],[0],[1.2582906000316143],['Target'],5,0,5,0,9.11297050002031,,5,9.090548100182787,9.11297050002031,9.11297050002031,0.02315340004861355,10.114381100051105,10.349784600082785,[-0.041666666666666664],[-0.4236111111111111],[1],[0],[0],[1.2582906000316143],['Target'],981936,001,2024-10-04_12h03.15.693,Visual Search Task,2024.2.1post4,60.05014181679504,2024-10-04 12h03.26.712753 +0530,
6,0,6,[-0.009259259259259259],[0.3599537037037037],[1],[0],[0],[1.5755282000172883],['Target'],6,0,6,0,10.396294299978763,,5,10.372894300147891,10.396294299978763,10.396294299978763,0.022820299956947565,11.397836700081825,11.949086500098929,[-0.009259259259259259],[0.3599537037037037],[1],[0],[0],[1.5755282000172883],['Target'],981936,001,2024-10-04_12h03.15.693,Visual Search Task,2024.2.1post4,60.05014181679504,2024-10-04 12h03.26.712753 +0530,
7,0,7,[-0.30787037037037035],[-0.06944444444444445],[1],[0],[0],[1.8344150001648813],['Target'],7,0,7,0,11.996481199981645,,10,11.981551800156012,11.996481199981645,11.996481199981645,0.03230400010943413,12.998138800030574,13.81675160001032,[-0.30787037037037035],[-0.06944444444444445],[1],[0],[0],[1.8344150001648813],['Target'],981936,001,2024-10-04_12h03.15.693,Visual Search Task,2024.2.1post4,60.05014181679504,2024-10-04 12h03.26.712753 +0530,
8,0,8,[-0.03125],[-0.020833333333333332],[1],[0],[0],[1.675231099827215],['Target'],8,0,8,0,13.863176699960604,,5,13.840745400171727,13.863176699960604,13.863176699960604,0.023671000031754375,14.86459180014208,15.51693020015955,[-0.03125],[-0.020833333333333332],[1],[0],[0],[1.675231099827215],['Target'],981936,001,2024-10-04_12h03.15.693,Visual Search Task,2024.2.1post4,60.05014181679504,2024-10-04 12h03.26.712753 +0530,
9,0,9,[0.11805555555555555],[0.07060185185185185],[1],[0],[0],[1.726679300190881],['Target'],9,0,9,0,15.579609100008383,,10,15.555765500059351,15.579609100008383,15.579609100008383,0.03856660006567836,16.580998199991882,17.283238200005144,[0.11805555555555555],[0.07060185185185185],[1],[0],[0],[1.726679300190881],['Target'],981936,001,2024-10-04_12h03.15.693,Visual Search Task,2024.2.1post4,60.05014181679504,2024-10-04 12h03.26.712753 +0530,
