thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,thisRow.t,notes,num_distr,trial.started,Fixation.started,Target.started,mouse.started,Fixation.stopped,trial.stopped,Trials.mouse.x,Trials.mouse.y,Trials.mouse.leftButton,Trials.mouse.midButton,Trials.mouse.rightButton,Trials.mouse.time,Trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,[-0.2048611111111111],[-0.05439814814814815],[1],[0],[0],[2.629949599970132],['Target'],0,0,0,0,0.08702290011569858,,10,0.059762599878013134,0.08702290011569858,0.08702290011569858,0.05944660026580095,1.0881656999699771,2.690196600276977,[-0.2048611111111111],[-0.05439814814814815],[1],[0],[0],[2.629949599970132],['Target'],2,002,2024-10-10_21h18.39.679,Visual Search Task,2024.2.1post4,60.06763619786393,2024-10-10 21h18.59.270698 +0530,
1,0,1,[0.24074074074074073],[-0.07523148148148148],[1],[0],[0],[2.5076151001267135],['Target'],1,0,1,0,2.7366935000754893,,10,2.7147416002117097,2.7366935000754893,2.7366935000754893,0.024378000292927027,3.7381679001264274,5.222921899985522,[0.24074074074074073],[-0.07523148148148148],[1],[0],[0],[2.5076151001267135],['Target'],2,002,2024-10-10_21h18.39.679,Visual Search Task,2024.2.1post4,60.06763619786393,2024-10-10 21h18.59.270698 +0530,
2,0,2,[-0.4074074074074074],[0.36921296296296297],[1],[0],[0],[3.324791199993342],['Target'],2,0,2,0,5.269963200204074,,10,5.247166899964213,5.269963200204074,5.269963200204074,0.024105799850076437,6.271094200201333,8.572451199870557,[-0.4074074074074074],[0.36921296296296297],[1],[0],[0],[3.324791199993342],['Target'],2,002,2024-10-10_21h18.39.679,Visual Search Task,2024.2.1post4,60.06763619786393,2024-10-10 21h18.59.270698 +0530,
3,0,3,[-0.006944444444444444],[-0.3715277777777778],[1],[0],[0],[2.0860870997421443],['Target'],3,0,3,0,8.602500400040299,,5,8.585292200092226,8.602500400040299,8.602500400040299,0.012707799673080444,9.603646600153297,10.67189390026033,[-0.006944444444444444],[-0.3715277777777778],[1],[0],[0],[2.0860870997421443],['Target'],2,002,2024-10-10_21h18.39.679,Visual Search Task,2024.2.1post4,60.06763619786393,2024-10-10 21h18.59.270698 +0530,
4,0,4,[0.16203703703703703],[0.2326388888888889],[1],[0],[0],[2.6360112000256777],['Target'],4,0,4,0,10.702683799900115,,5,10.684717500116676,10.702683799900115,10.702683799900115,0.012699099723249674,11.704114600084722,13.321213299874216,[0.16203703703703703],[0.2326388888888889],[1],[0],[0],[2.6360112000256777],['Target'],2,002,2024-10-10_21h18.39.679,Visual Search Task,2024.2.1post4,60.06763619786393,2024-10-10 21h18.59.270698 +0530,
5,0,5,[-0.2951388888888889],[0.39467592592592593],[1],[0],[0],[2.0363753996789455],['Target'],5,0,5,0,13.35226650023833,,5,13.33445949992165,13.35226650023833,13.35226650023833,0.013134399894624949,14.353483899962157,15.37132260017097,[-0.2951388888888889],[0.39467592592592593],[1],[0],[0],[2.0363753996789455],['Target'],2,002,2024-10-10_21h18.39.679,Visual Search Task,2024.2.1post4,60.06763619786393,2024-10-10 21h18.59.270698 +0530,
6,0,6,[0.5023148148148148],[0.02662037037037037],[1],[0],[0],[2.44000479998067],['Target'],6,0,6,0,15.418424000032246,,10,15.39685510005802,15.418424000032246,15.418424000032246,0.025419600307941437,16.420057999901474,17.837328200228512,[0.5023148148148148],[0.02662037037037037],[1],[0],[0],[2.44000479998067],['Target'],2,002,2024-10-10_21h18.39.679,Visual Search Task,2024.2.1post4,60.06763619786393,2024-10-10 21h18.59.270698 +0530,
7,0,7,[0.06597222222222222],[0.2326388888888889],[1],[0],[0],[1.9374886001460254],['Target'],7,0,7,0,17.868295200169086,,5,17.849677400197834,17.868295200169086,17.868295200169086,0.01227600034326315,18.869198400061578,19.78790090000257,[0.06597222222222222],[0.2326388888888889],[1],[0],[0],[1.9374886001460254],['Target'],2,002,2024-10-10_21h18.39.679,Visual Search Task,2024.2.1post4,60.06763619786393,2024-10-10 21h18.59.270698 +0530,
8,0,8,[0.31712962962962965],[-0.10069444444444445],[1],[0],[0],[1.8568870997987688],['Target'],8,0,8,0,19.834590800106525,,10,19.81275760009885,19.834590800106525,19.834590800106525,0.024745100177824497,20.836123399902135,21.67009750008583,[0.31712962962962965],[-0.10069444444444445],[1],[0],[0],[1.8568870997987688],['Target'],2,002,2024-10-10_21h18.39.679,Visual Search Task,2024.2.1post4,60.06763619786393,2024-10-10 21h18.59.270698 +0530,
9,0,9,[0.1550925925925926],[0.21180555555555555],[1],[0],[0],[1.3744498998858035],['Target'],9,0,9,0,21.701316399965435,,5,21.682031400036067,21.701316399965435,21.701316399965435,0.011823799926787615,22.702376700006425,23.057758000213653,[0.1550925925925926],[0.21180555555555555],[1],[0],[0],[1.3744498998858035],['Target'],2,002,2024-10-10_21h18.39.679,Visual Search Task,2024.2.1post4,60.06763619786393,2024-10-10 21h18.59.270698 +0530,
10,0,10,[0.21180555555555555],[-0.13657407407407407],[1],[0],[0],[2.137301899958402],['Target'],10,0,10,0,23.10066229989752,,5,23.08205209998414,23.10066229989752,23.10066229989752,0.023788699880242348,24.10220510000363,25.219816400203854,[0.21180555555555555],[-0.13657407407407407],[1],[0],[0],[2.137301899958402],['Target'],2,002,2024-10-10_21h18.39.679,Visual Search Task,2024.2.1post4,60.06763619786393,2024-10-10 21h18.59.270698 +0530,
11,0,11,[-0.4050925925925926],[0.22685185185185186],[1],[0],[0],[3.257571500260383],['Target'],11,0,11,0,25.267149100080132,,10,25.244426200166345,25.267149100080132,25.267149100080132,0.024501000065356493,26.268649000208825,28.502462100237608,[-0.4050925925925926],[0.22685185185185186],[1],[0],[0],[3.257571500260383],['Target'],2,002,2024-10-10_21h18.39.679,Visual Search Task,2024.2.1post4,60.06763619786393,2024-10-10 21h18.59.270698 +0530,
12,0,12,[0.21064814814814814],[-0.11458333333333333],[1],[0],[0],[2.5911314003169537],['Target'],12,0,12,0,28.550166999921203,,10,28.527562899980694,28.550166999921203,28.550166999921203,0.024966499768197536,29.5513992998749,31.11917190020904,[0.21064814814814814],[-0.11458333333333333],[1],[0],[0],[2.5911314003169537],['Target'],2,002,2024-10-10_21h18.39.679,Visual Search Task,2024.2.1post4,60.06763619786393,2024-10-10 21h18.59.270698 +0530,
13,0,13,[-0.47337962962962965],[-0.2604166666666667],[1],[0],[0],[2.1585240000858903],['Target'],13,0,13,0,31.166363200172782,,10,31.143695800099522,31.166363200172782,31.166363200172782,0.024369100108742714,32.168163100257516,33.3027538000606,[-0.47337962962962965],[-0.2604166666666667],[1],[0],[0],[2.1585240000858903],['Target'],2,002,2024-10-10_21h18.39.679,Visual Search Task,2024.2.1post4,60.06763619786393,2024-10-10 21h18.59.270698 +0530,
14,0,14,[0.09722222222222222],[0.40625],[1],[0],[0],[2.6406169002875686],['Target'],14,0,14,0,33.3659232002683,,10,33.343944400083274,33.3659232002683,33.3659232002683,0.04096810007467866,34.36739100003615,35.98505849996582,[0.09722222222222222],[0.40625],[1],[0],[0],[2.6406169002875686],['Target'],2,002,2024-10-10_21h18.39.679,Visual Search Task,2024.2.1post4,60.06763619786393,2024-10-10 21h18.59.270698 +0530,
15,0,15,[-0.40046296296296297],[0.009259259259259259],[1],[0],[0],[1.7749124998226762],['Target'],15,0,15,0,36.03239470021799,,10,36.00980499992147,36.03239470021799,36.03239470021799,0.02460339991375804,37.03423670027405,37.785235499963164,[-0.40046296296296297],[0.009259259259259259],[1],[0],[0],[1.7749124998226762],['Target'],2,002,2024-10-10_21h18.39.679,Visual Search Task,2024.2.1post4,60.06763619786393,2024-10-10 21h18.59.270698 +0530,
16,0,16,[0.11689814814814815],[0.12037037037037036],[1],[0],[0],[2.1408918001689017],['Target'],16,0,16,0,37.83260060008615,,10,37.809953700285405,37.83260060008615,37.83260060008615,0.02458109986037016,38.833836500067264,39.95132380025461,[0.11689814814814815],[0.12037037037037036],[1],[0],[0],[2.1408918001689017],['Target'],2,002,2024-10-10_21h18.39.679,Visual Search Task,2024.2.1post4,60.06763619786393,2024-10-10 21h18.59.270698 +0530,
17,0,17,[0.46875],[-0.03819444444444445],[1],[0],[0],[3.724636800121516],['Target'],17,0,17,0,39.99876719992608,,10,39.975763800088316,39.99876719992608,39.99876719992608,0.024289899971336126,41.00011900020763,43.700888600200415,[0.46875],[-0.03819444444444445],[1],[0],[0],[3.724636800121516],['Target'],2,002,2024-10-10_21h18.39.679,Visual Search Task,2024.2.1post4,60.06763619786393,2024-10-10 21h18.59.270698 +0530,
18,0,18,[-0.28587962962962965],[0.2743055555555556],[1],[0],[0],[3.0756549001671374],['Target'],18,0,18,0,43.748081100173295,,10,43.72560210013762,43.748081100173295,43.748081100173295,0.024575399700552225,44.74967860011384,46.80174899986014,[-0.28587962962962965],[0.2743055555555556],[1],[0],[0],[3.0756549001671374],['Target'],2,002,2024-10-10_21h18.39.679,Visual Search Task,2024.2.1post4,60.06763619786393,2024-10-10 21h18.59.270698 +0530,
19,0,19,[0.3101851851851852],[-0.13078703703703703],[1],[0],[0],[2.589840400032699],['Target'],19,0,19,0,46.84766549989581,,10,46.82659360021353,46.84766549989581,46.84766549989581,0.02470539975911379,47.84924820018932,49.41703930031508,[0.3101851851851852],[-0.13078703703703703],[1],[0],[0],[2.589840400032699],['Target'],2,002,2024-10-10_21h18.39.679,Visual Search Task,2024.2.1post4,60.06763619786393,2024-10-10 21h18.59.270698 +0530,
20,0,20,[0.17939814814814814],[-0.25810185185185186],[1],[0],[0],[1.869235800113529],['Target'],20,0,20,0,49.447581300046295,,5,49.43068900005892,49.447581300046295,49.447581300046295,0.013512700330466032,50.44863080000505,51.30047750007361,[0.17939814814814814],[-0.25810185185185186],[1],[0],[0],[1.869235800113529],['Target'],2,002,2024-10-10_21h18.39.679,Visual Search Task,2024.2.1post4,60.06763619786393,2024-10-10 21h18.59.270698 +0530,
21,0,21,[-0.25],[0.26157407407407407],[1],[0],[0],[2.4024332999251783],['Target'],21,0,21,0,51.33067180030048,,5,51.31337499991059,51.33067180030048,51.33067180030048,0.01278909994289279,52.33211319986731,53.716302500106394,[-0.25],[0.26157407407407407],[1],[0],[0],[2.4024332999251783],['Target'],2,002,2024-10-10_21h18.39.679,Visual Search Task,2024.2.1post4,60.06763619786393,2024-10-10 21h18.59.270698 +0530,
22,0,22,[-0.2789351851851852],[0.1712962962962963],[1],[0],[0],[2.874844000209123],['Target'],22,0,22,0,53.76369770010933,,10,53.74051949987188,53.76369770010933,53.76369770010933,0.024077599868178368,54.76465809997171,56.61581279989332,[-0.2789351851851852],[0.1712962962962963],[1],[0],[0],[2.874844000209123],['Target'],2,002,2024-10-10_21h18.39.679,Visual Search Task,2024.2.1post4,60.06763619786393,2024-10-10 21h18.59.270698 +0530,
23,0,23,[-0.17939814814814814],[0.36921296296296297],[1],[0],[0],[1.908432099968195],['Target'],23,0,23,0,56.663228400051594,,10,56.640273000113666,56.663228400051594,56.663228400051594,0.0243196003139019,57.66468140017241,58.54921380011365,[-0.17939814814814814],[0.36921296296296297],[1],[0],[0],[1.908432099968195],['Target'],2,002,2024-10-10_21h18.39.679,Visual Search Task,2024.2.1post4,60.06763619786393,2024-10-10 21h18.59.270698 +0530,
24,0,24,[-0.43287037037037035],[-0.04398148148148148],[1],[0],[0],[1.7068918999284506],['Target'],24,0,24,0,58.59656039997935,,10,58.57471529999748,58.59656039997935,58.59656039997935,0.02535830019041896,59.5976625001058,60.28212910005823,[-0.43287037037037035],[-0.04398148148148148],[1],[0],[0],[1.7068918999284506],['Target'],2,002,2024-10-10_21h18.39.679,Visual Search Task,2024.2.1post4,60.06763619786393,2024-10-10 21h18.59.270698 +0530,
25,0,25,[0.3773148148148148],[0.08564814814814815],[1],[0],[0],[2.253406399860978],['Target'],25,0,25,0,60.312938100192696,,5,60.2950748000294,60.312938100192696,60.312938100192696,0.01278909994289279,61.31424059998244,62.548978600185364,[0.3773148148148148],[0.08564814814814815],[1],[0],[0],[2.253406399860978],['Target'],2,002,2024-10-10_21h18.39.679,Visual Search Task,2024.2.1post4,60.06763619786393,2024-10-10 21h18.59.270698 +0530,
