Study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_word,Reference,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,test.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,test.stopped,trials_2.test_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Poster,0,0,0,3.014388489208633,2.292852459002461,,,,,,,,,,,,0,0,0,14,,,,,0.044604624999919906,,0.023789040998963173,0.044604624999919906,0.044604624999919906,2.3248868329974357,3.014388489208633,2.292852459002461,,,,,,,,,,,,,,,3,001,2024-11-06_10h27.52.576,primming 5.0,2024.2.4,None,2024-11-06 10h28.00.880217 +0530,
phone,1,1,0,3.014388489208633,1.2559910420022788,,,,,,,,,,,,0,1,1,2,,,,,2.334286915996927,,2.3271626249988913,2.334286915996927,2.334286915996927,3.5914747079950757,3.014388489208633,1.2559910420022788,,,,,,,,,,,,,,,3,001,2024-11-06_10h27.52.576,primming 5.0,2024.2.4,None,2024-11-06 10h28.00.880217 +0530,
Case,2,2,0,2.014388489208633,1.5565839579940075,,,,,,,,,,,,0,2,2,10,,,,,3.600247082998976,,3.5931922499948996,3.600247082998976,3.600247082998976,5.158149582995975,2.014388489208633,1.5565839579940075,,,,,,,,,,,,,,,3,001,2024-11-06_10h27.52.576,primming 5.0,2024.2.4,None,2024-11-06 10h28.00.880217 +0530,
Cruise,3,3,0,2.9964028776978417,1.573710458993446,,,,,,,,,,,,0,3,3,11,,,,,5.166208457994799,,5.159286582995264,5.166208457994799,5.166208457994799,6.741625665999891,2.9964028776978417,1.573710458993446,,,,,,,,,,,,,,,3,001,2024-11-06_10h27.52.576,primming 5.0,2024.2.4,None,2024-11-06 10h28.00.880217 +0530,
book,4,4,0,2.0035971223021583,2.689792707999004,,,,,,,,,,,,0,4,4,0,,,,,6.749657165993995,,6.742728540993994,6.749657165993995,6.749657165993995,9.441675874993962,2.0035971223021583,2.689792707999004,,,,,,,,,,,,,,,3,001,2024-11-06_10h27.52.576,primming 5.0,2024.2.4,None,2024-11-06 10h28.00.880217 +0530,
cushion,5,5,0,3.0035971223021583,1.4727918330027023,,,,,,,,,,,,0,5,5,1,,,,,9.449992040994402,,9.442938041000161,9.449992040994402,9.449992040994402,10.925124582994613,3.0035971223021583,1.4727918330027023,,,,,,,,,,,,,,,3,001,2024-11-06_10h27.52.576,primming 5.0,2024.2.4,None,2024-11-06 10h28.00.880217 +0530,
board,6,6,0,1.9928057553956835,1.4863286250038072,,,,,,,,,,,,0,6,6,4,,,,,10.93395849999797,,10.926810124998156,10.93395849999797,10.93395849999797,12.426248165997094,1.9928057553956835,1.4863286250038072,,,,,,,,,,,,,,,3,001,2024-11-06_10h27.52.576,primming 5.0,2024.2.4,None,2024-11-06 10h28.00.880217 +0530,
Chart,7,7,0,2.0035971223021583,1.2025570410041837,,,,,,,,,,,,0,7,7,6,,,,,12.435787832997448,,12.427758707999601,12.435787832997448,12.435787832997448,13.64315245799662,2.0035971223021583,1.2025570410041837,,,,,,,,,,,,,,,3,001,2024-11-06_10h27.52.576,primming 5.0,2024.2.4,None,2024-11-06 10h28.00.880217 +0530,
marble,8,8,0,1.985611510791367,1.321268624997174,,,,,,,,,,,,0,8,8,3,,,,,13.653842583000369,,13.644710874999873,13.653842583000369,13.653842583000369,14.975402582997049,1.985611510791367,1.321268624997174,,,,,,,,,,,,,,,3,001,2024-11-06_10h27.52.576,primming 5.0,2024.2.4,None,2024-11-06 10h28.00.880217 +0530,
Police,9,9,0,2.0107913669064748,1.5224944159999723,,,,,,,,,,,,0,9,9,12,,,,,14.983776290995593,,14.976567124998837,14.983776290995593,14.983776290995593,16.508285915995657,2.0107913669064748,1.5224944159999723,,,,,,,,,,,,,,,3,001,2024-11-06_10h27.52.576,primming 5.0,2024.2.4,None,2024-11-06 10h28.00.880217 +0530,
mouse,10,10,0,1.9964028776978417,2.2234554159949766,,,,,,,,,,,,0,10,10,8,,,,,16.51637870799459,,16.50940512499801,16.51637870799459,16.51637870799459,18.741323707996344,1.9964028776978417,2.2234554159949766,,,,,,,,,,,,,,,3,001,2024-11-06_10h27.52.576,primming 5.0,2024.2.4,None,2024-11-06 10h28.00.880217 +0530,
Pastry,11,11,0,2.9964028776978417,1.7234098339977209,,,,,,,,,,,,0,11,11,9,,,,,18.75029041599919,,18.743045874995005,18.75029041599919,18.75029041599919,20.474677374993917,2.9964028776978417,1.7234098339977209,,,,,,,,,,,,,,,3,001,2024-11-06_10h27.52.576,primming 5.0,2024.2.4,None,2024-11-06 10h28.00.880217 +0530,
Keys,12,12,0,2.0035971223021583,1.45694591600477,,,,,,,,,,,,0,12,12,13,,,,,20.483575291000307,,20.476274790999014,20.483575291000307,20.483575291000307,21.941413165994163,2.0035971223021583,1.45694591600477,,,,,,,,,,,,,,,3,001,2024-11-06_10h27.52.576,primming 5.0,2024.2.4,None,2024-11-06 10h28.00.880217 +0530,
Laptop,13,13,0,3.014388489208633,1.3065128329981235,,,,,,,,,,,,0,13,13,5,,,,,21.95006891599769,,21.943004916000064,21.95006891599769,21.95006891599769,23.25796554099361,3.014388489208633,1.3065128329981235,,,,,,,,,,,,,,,3,001,2024-11-06_10h27.52.576,primming 5.0,2024.2.4,None,2024-11-06 10h28.00.880217 +0530,
T-shirt,14,14,0,2.0251798561151078,1.922447958997509,,,,,,,,,,,,0,14,14,7,,,,,23.267216082997038,,23.259890665998682,23.267216082997038,23.267216082997038,25.19186916599574,2.0251798561151078,1.922447958997509,,,,,,,,,,,,,,,3,001,2024-11-06_10h27.52.576,primming 5.0,2024.2.4,None,2024-11-06 10h28.00.880217 +0530,
