Study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_word,Reference,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,test.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,test.stopped,trials_2.test_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Pastry,0,0,0,2.0,3.752178916001867,,,,,,,,,,,,0,0,0,9,,,,,0.043285667001327965,,0.020103750000998843,0.043285667001327965,0.043285667001327965,3.7860742499979096,2.0,3.752178916001867,,,,,,,,,,,,,,,1,001,2024-11-06_10h22.29.035,primming 5.0,2024.2.4,121.49235179030909,2024-11-06 10h22.37.797061 +0530,
board,1,1,0,2.0035971223021583,1.4577359160030028,,,,,,,,,,,,0,1,1,4,,,,,3.796709624999494,,3.7884423329960555,3.796709624999494,3.796709624999494,5.255620625001029,2.0035971223021583,1.4577359160030028,,,,,,,,,,,,,,,1,001,2024-11-06_10h22.29.035,primming 5.0,2024.2.4,121.49235179030909,2024-11-06 10h22.37.797061 +0530,
T-shirt,2,2,0,2.0035971223021583,1.078543167001044,,,,,,,,,,,,0,2,2,7,,,,,5.268081249996612,,5.258453207999992,5.268081249996612,5.268081249996612,6.345348916998773,2.0035971223021583,1.078543167001044,,,,,,,,,,,,,,,1,001,2024-11-06_10h22.29.035,primming 5.0,2024.2.4,121.49235179030909,2024-11-06 10h22.37.797061 +0530,
book,3,3,0,1.0107913669064748,2.1898105000000214,,,,,,,,,,,,0,3,3,0,,,,,6.355343082999752,,6.346985541997128,6.355343082999752,6.355343082999752,8.545620083001268,1.0107913669064748,2.1898105000000214,,,,,,,,,,,,,,,1,001,2024-11-06_10h22.29.035,primming 5.0,2024.2.4,121.49235179030909,2024-11-06 10h22.37.797061 +0530,
Keys,4,4,0,1,1.7082707079971442,,,,,,,,,,,,0,4,4,13,,,,,8.556321208001464,,8.547981666997657,8.556321208001464,8.556321208001464,10.269257791995187,1,1.7082707079971442,,,,,,,,,,,,,,,1,001,2024-11-06_10h22.29.035,primming 5.0,2024.2.4,121.49235179030909,2024-11-06 10h22.37.797061 +0530,
Case,5,5,0,1,0.7750786249962403,,,,,,,,,,,,0,5,5,10,,,,,10.279836916997738,,10.27069612500054,10.279836916997738,10.279836916997738,11.054786249995232,1,0.7750786249962403,,,,,,,,,,,,,,,1,001,2024-11-06_10h22.29.035,primming 5.0,2024.2.4,121.49235179030909,2024-11-06 10h22.37.797061 +0530,
Poster,6,6,0,1.9928057553956835,1.7020880830023088,,,,,,,,,,,,0,6,6,14,,,,,11.068828167000902,,11.056313124994631,11.068828167000902,11.068828167000902,12.767803541995818,1.9928057553956835,1.7020880830023088,,,,,,,,,,,,,,,1,001,2024-11-06_10h22.29.035,primming 5.0,2024.2.4,121.49235179030909,2024-11-06 10h22.37.797061 +0530,
Cruise,7,7,0,1.9928057553956835,0.7566787499963539,,,,,,,,,,,,0,7,7,11,,,,,12.77599645799637,,12.768979583001055,12.77599645799637,12.77599645799637,13.534057832999679,1.9928057553956835,0.7566787499963539,,,,,,,,,,,,,,,1,001,2024-11-06_10h22.29.035,primming 5.0,2024.2.4,121.49235179030909,2024-11-06 10h22.37.797061 +0530,
Police,8,8,0,1.9928057553956835,0.7065100420004455,,,,,,,,,,,,0,8,8,12,,,,,13.542529291997198,,13.535321499999554,13.542529291997198,13.542529291997198,14.25128749999567,1.9928057553956835,0.7065100420004455,,,,,,,,,,,,,,,1,001,2024-11-06_10h22.29.035,primming 5.0,2024.2.4,121.49235179030909,2024-11-06 10h22.37.797061 +0530,
mouse,9,9,0,1.9928057553956835,0.4728790419976576,,,,,,,,,,,,0,9,9,8,,,,,14.259391166997375,,14.25238583299506,14.259391166997375,14.259391166997375,14.733960041994578,1.9928057553956835,0.4728790419976576,,,,,,,,,,,,,,,1,001,2024-11-06_10h22.29.035,primming 5.0,2024.2.4,121.49235179030909,2024-11-06 10h22.37.797061 +0530,
