Study_word,Study_word_raw,Studyslider.response_raw,Studyslider.rt_raw,thisN_raw,thisRepN_raw,thisTrialN_raw
book,Poster,3.014388489208633,2.292852459002461,0,0,0
cushion,phone,3.014388489208633,1.2559910420022788,1,0,1
phone,Case,2.014388489208633,1.5565839579940075,2,0,2
marble,Cruise,2.9964028776978417,1.573710458993446,3,0,3
board,book,2.0035971223021583,2.689792707999004,4,0,4
Laptop,cushion,3.0035971223021583,1.4727918330027023,5,0,5
Chart,board,1.9928057553956835,1.4863286250038072,6,0,6
T-shirt,Chart,2.0035971223021583,1.2025570410041837,7,0,7
mouse,marble,1.985611510791367,1.321268624997174,8,0,8
Pastry,Police,2.0107913669064748,1.5224944159999723,9,0,9
Case,mouse,1.9964028776978417,2.2234554159949766,10,0,10
Cruise,Pastry,2.9964028776978417,1.7234098339977209,11,0,11
Police,Keys,2.0035971223021583,1.45694591600477,12,0,12
Keys,Laptop,3.014388489208633,1.3065128329981235,13,0,13
Poster,T-shirt,2.0251798561151078,1.922447958997509,14,0,14

extraInfo
participant,3
session,001
date,2024-11-06_10h27.52.576
expName,primming 5.0
psychopyVersion,2024.2.4
frameRate,None
expStart,2024-11-06 10h28.00.880217 +0530
