Study_word,Study_word_raw,Studyslider.response_raw,Studyslider.rt_raw,thisN_raw,thisRepN_raw,thisTrialN_raw
book,phone,1.9820143884892085,1.4154846250021365,0,0,0
cushion,Cruise,3.039568345323741,2.0231111250031972,1,0,1
phone,Laptop,2.0071942446043165,2.4058589170017513,2,0,2
marble,Chart,2.0071942446043165,2.673530957996263,3,0,3
board,mouse,2.0071942446043165,0.8569307920042775,4,0,4
Laptop,Police,2.0071942446043165,0.6896257909975247,5,0,5
Chart,board,2.0035971223021583,0.8563411670038477,6,0,6
T-shirt,marble,2.0035971223021583,0.7566071249966626,7,0,7
mouse,Pastry,2.0071942446043165,1.8561732500020298,8,0,8
Pastry,Keys,1.0,1.506500124996819,9,0,9
Case,Poster,3.0071942446043165,3.0399770000003628,10,0,10
Cruise,cushion,2.0035971223021583,4.0772629999992205,11,0,11
Police,book,1.0,1.5814764169990667,12,0,12
Keys,Case,1.0,0.8494670000000042,13,0,13
Poster,T-shirt,1.0,0.9049097079987405,14,0,14

extraInfo
participant,4
session,001
date,2024-11-06_10h29.37.132
expName,primming 5.0
psychopyVersion,2024.2.4
frameRate,119.5662147292179
expStart,2024-11-06 10h29.45.041715 +0530
