Study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_word,Reference,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,test.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,test.stopped,trials_2.test_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
board,14,14,0,2.0107913669064748,0.1472344579960918,,,,,,,,,,,,0,14,14,4,,,,,8.690064750000602,,8.681354625005042,8.690064750000602,8.690064750000602,8.838378500004183,2.0107913669064748,0.1472344579960918,,,,,,,,,,,,,,,2,001,2024-11-06_10h25.33.110,primming 5.0,2024.2.4,119.68212523015494,2024-11-06 10h25.41.383072 +0530,
,0,0,0,,,_ha_t,Chart,old,chart,"[-0.24730215827338128, -0.24730215827338128, 0.0008992805755395684]","[-0.3066546762589928, -0.3066546762589928, -0.28597122302158273]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.03740599999582628, 0.21894254200014984, 2.981728041995666]","[None, None, 'submit_text']",,,,,0,0,0,1,8.882334250003623,,,,,,,,8.872423708002316,8.882334250003623,8.882334250003623,8.882334250003623,0.03404170800058637,11.854455500004406,chart,"[-0.24730215827338128, -0.24730215827338128, 0.0008992805755395684]","[-0.3066546762589928, -0.3066546762589928, -0.28597122302158273]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.03740599999582628, 0.21894254200014984, 2.981728041995666]","[None, None, 'submit_text']",2,001,2024-11-06_10h25.33.110,primming 5.0,2024.2.4,119.68212523015494,2024-11-06 10h25.41.383072 +0530,
,1,1,0,,,T_hi_t,Tshirt,old,tshirt,[0.0008992805755395684],[-0.28597122302158273],[1],[0],[0],[2.572813958999177],['submit_text'],,,,,0,1,1,2,11.867863250001392,,,,,,,,11.856624958003522,11.867863250001392,11.867863250001392,11.867863250001392,0.001976084000489209,14.429727624999941,tshirt,[0.0008992805755395684],[-0.28597122302158273],[1],[0],[0],[2.572813958999177],['submit_text'],2,001,2024-11-06_10h25.33.110,primming 5.0,2024.2.4,119.68212523015494,2024-11-06 10h25.41.383072 +0530,
,2,2,0,,,_o_rd,Board ,old,board,[0.01079136690647482],[-0.3012589928057554],[1],[0],[0],[5.79744283400214],['submit_text'],,,,,0,2,2,10,14.442439417005517,,,,,,,,14.4318701670054,14.442439417005517,14.442439417005517,14.442439417005517,0.0020485829954850487,20.229633875002037,board,[0.01079136690647482],[-0.3012589928057554],[1],[0],[0],[5.79744283400214],['submit_text'],2,001,2024-11-06_10h25.33.110,primming 5.0,2024.2.4,119.68212523015494,2024-11-06 10h25.41.383072 +0530,
,3,3,0,,,_ou_se,mouse,old,mouse,[0.01079136690647482],[-0.3012589928057554],[1],[0],[0],[2.238342125005147],['submit_text'],,,,,0,3,3,3,20.243082708002476,,,,,,,,20.23188654200203,20.243082708002476,20.243082708002476,20.243082708002476,0.0021409590044640936,22.470553375002055,mouse,[0.01079136690647482],[-0.3012589928057554],[1],[0],[0],[2.238342125005147],['submit_text'],2,001,2024-11-06_10h25.33.110,primming 5.0,2024.2.4,119.68212523015494,2024-11-06 10h25.41.383072 +0530,
,4,4,0,,,_ru_is_,Cruise,old,cruise,[0.01079136690647482],[-0.3012589928057554],[1],[0],[0],[2.7993977080041077],['submit_text'],,,,,0,4,4,6,22.4836521670004,,,,,,,,22.472621500004607,22.4836521670004,22.4836521670004,22.4836521670004,0.0019568749994505197,25.272412375001295,cruise,[0.01079136690647482],[-0.3012589928057554],[1],[0],[0],[2.7993977080041077],['submit_text'],2,001,2024-11-06_10h25.33.110,primming 5.0,2024.2.4,119.68212523015494,2024-11-06 10h25.41.383072 +0530,
,5,5,0,,,bo_t_e,Bottle,new,bottle,[0.01079136690647482],[-0.3012589928057554],[1],[0],[0],[2.39464808399498],['submit_text'],,,,,0,5,5,18,25.286337500001537,,,,,,,,25.274580625002272,25.286337500001537,25.286337500001537,25.286337500001537,0.0020427089984877966,27.669590666999284,bottle,[0.01079136690647482],[-0.3012589928057554],[1],[0],[0],[2.39464808399498],['submit_text'],2,001,2024-11-06_10h25.33.110,primming 5.0,2024.2.4,119.68212523015494,2024-11-06 10h25.41.383072 +0530,
,6,6,0,,,p_nc_l,Pencil,new,pencil,"[-0.0044964028776978415, -0.0044964028776978415]","[-0.2670863309352518, -0.3039568345323741]","[1, 1]","[0, 0]","[0, 0]","[2.7974918330000946, 3.4472890830002143]","[None, 'submit_text']",,,,,0,6,6,16,27.684277750006004,,,,,,,,27.67187591700349,27.684277750006004,27.684277750006004,27.684277750006004,0.002161541997338645,31.119571208000707,pencil,"[-0.0044964028776978415, -0.0044964028776978415]","[-0.2670863309352518, -0.3039568345323741]","[1, 1]","[0, 0]","[0, 0]","[2.7974918330000946, 3.4472890830002143]","[None, 'submit_text']",2,001,2024-11-06_10h25.33.110,primming 5.0,2024.2.4,119.68212523015494,2024-11-06 10h25.41.383072 +0530,
,7,7,0,,,_ho_e,Phone,old,,[-0.0044964028776978415],[-0.30485611510791366],[1],[0],[0],[1.4824260419991333],['submit_text'],,,,,0,7,7,12,31.134210625001288,,,,,,,,31.12190187500528,31.134210625001288,31.134210625001288,31.134210625001288,0.0021740000011050142,32.60463304199948,,[-0.0044964028776978415],[-0.30485611510791366],[1],[0],[0],[1.4824260419991333],['submit_text'],2,001,2024-11-06_10h25.33.110,primming 5.0,2024.2.4,119.68212523015494,2024-11-06 10h25.41.383072 +0530,
,8,8,0,,,v_s_,Vase,new,vase,[0.0008992805755395684],[-0.3192446043165468],[1],[0],[0],[2.4062617090021376],['submit_text'],,,,,0,8,8,17,32.61740237500635,,,,,,,,32.606783708004514,32.61740237500635,32.61740237500635,32.61740237500635,0.002061750004941132,35.01336291700136,vase,[0.0008992805755395684],[-0.3192446043165468],[1],[0],[0],[2.4062617090021376],['submit_text'],2,001,2024-11-06_10h25.33.110,primming 5.0,2024.2.4,119.68212523015494,2024-11-06 10h25.41.383072 +0530,
,9,9,0,,,_a_bl_,Marble,old,marble,[0.0008992805755395684],[-0.3192446043165468],[1],[0],[0],[2.4731132090018946],['submit_text'],,,,,0,9,9,11,35.027552667001146,,,,,,,,35.01553100000456,35.027552667001146,35.027552667001146,35.027552667001146,0.0020570000051520765,37.489044624999224,marble,[0.0008992805755395684],[-0.3192446043165468],[1],[0],[0],[2.4731132090018946],['submit_text'],2,001,2024-11-06_10h25.33.110,primming 5.0,2024.2.4,119.68212523015494,2024-11-06 10h25.41.383072 +0530,
