Study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_word,Reference,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,test.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,test.stopped,trials_2.test_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
phone,0,0,0,1.9820143884892085,1.4154846250021365,,,,,,,,,,,,0,0,0,2,,,,,0.04003599999850849,,0.02018320900242543,0.04003599999850849,0.04003599999850849,1.444313375002821,1.9820143884892085,1.4154846250021365,,,,,,,,,,,,,,,4,001,2024-11-06_10h29.37.132,primming 5.0,2024.2.4,119.5662147292179,2024-11-06 10h29.45.041715 +0530,
Cruise,1,1,0,3.039568345323741,2.0231111250031972,,,,,,,,,,,,0,1,1,11,,,,,1.4533584590026294,,1.4461927500015008,1.4533584590026294,1.4533584590026294,3.4779370840042247,3.039568345323741,2.0231111250031972,,,,,,,,,,,,,,,4,001,2024-11-06_10h29.37.132,primming 5.0,2024.2.4,119.5662147292179,2024-11-06 10h29.45.041715 +0530,
Laptop,2,2,0,2.0071942446043165,2.4058589170017513,,,,,,,,,,,,0,2,2,5,,,,,3.4870267919977778,,3.4799008749978384,3.4870267919977778,3.4870267919977778,5.894389834000322,2.0071942446043165,2.4058589170017513,,,,,,,,,,,,,,,4,001,2024-11-06_10h29.37.132,primming 5.0,2024.2.4,119.5662147292179,2024-11-06 10h29.45.041715 +0530,
Chart,3,3,0,2.0071942446043165,2.673530957996263,,,,,,,,,,,,0,3,3,6,,,,,5.902696791999915,,5.89565629199933,5.902696791999915,5.902696791999915,8.577716917003272,2.0071942446043165,2.673530957996263,,,,,,,,,,,,,,,4,001,2024-11-06_10h29.37.132,primming 5.0,2024.2.4,119.5662147292179,2024-11-06 10h29.45.041715 +0530,
mouse,4,4,0,2.0071942446043165,0.8569307920042775,,,,,,,,,,,,0,4,4,8,,,,,8.586064834002173,,8.578875416998926,8.586064834002173,8.586064834002173,9.44435599999997,2.0071942446043165,0.8569307920042775,,,,,,,,,,,,,,,4,001,2024-11-06_10h29.37.132,primming 5.0,2024.2.4,119.5662147292179,2024-11-06 10h29.45.041715 +0530,
Police,5,5,0,2.0071942446043165,0.6896257909975247,,,,,,,,,,,,0,5,5,12,,,,,9.453065166999295,,9.446139250001579,9.453065166999295,9.453065166999295,10.144386375002796,2.0071942446043165,0.6896257909975247,,,,,,,,,,,,,,,4,001,2024-11-06_10h29.37.132,primming 5.0,2024.2.4,119.5662147292179,2024-11-06 10h29.45.041715 +0530,
board,6,6,0,2.0035971223021583,0.8563411670038477,,,,,,,,,,,,0,6,6,4,,,,,10.153038208998623,,10.145984959002817,10.153038208998623,10.153038208998623,11.01096308400156,2.0035971223021583,0.8563411670038477,,,,,,,,,,,,,,,4,001,2024-11-06_10h29.37.132,primming 5.0,2024.2.4,119.5662147292179,2024-11-06 10h29.45.041715 +0530,
marble,7,7,0,2.0035971223021583,0.7566071249966626,,,,,,,,,,,,0,7,7,3,,,,,11.019310042000143,,11.01214937500481,11.019310042000143,11.019310042000143,11.777875874999154,2.0035971223021583,0.7566071249966626,,,,,,,,,,,,,,,4,001,2024-11-06_10h29.37.132,primming 5.0,2024.2.4,119.5662147292179,2024-11-06 10h29.45.041715 +0530,
Pastry,8,8,0,2.0071942446043165,1.8561732500020298,,,,,,,,,,,,0,8,8,9,,,,,11.786661875004938,,11.779587875003926,11.786661875004938,11.786661875004938,13.644628499998362,2.0071942446043165,1.8561732500020298,,,,,,,,,,,,,,,4,001,2024-11-06_10h29.37.132,primming 5.0,2024.2.4,119.5662147292179,2024-11-06 10h29.45.041715 +0530,
Keys,9,9,0,1.0,1.506500124996819,,,,,,,,,,,,0,9,9,13,,,,,13.653328459004115,,13.646171125001274,13.653328459004115,13.653328459004115,15.160875792003935,1.0,1.506500124996819,,,,,,,,,,,,,,,4,001,2024-11-06_10h29.37.132,primming 5.0,2024.2.4,119.5662147292179,2024-11-06 10h29.45.041715 +0530,
Poster,10,10,0,3.0071942446043165,3.0399770000003628,,,,,,,,,,,,0,10,10,14,,,,,15.169229125000129,,15.162125292001292,15.169229125000129,15.169229125000129,18.210934374998033,3.0071942446043165,3.0399770000003628,,,,,,,,,,,,,,,4,001,2024-11-06_10h29.37.132,primming 5.0,2024.2.4,119.5662147292179,2024-11-06 10h29.45.041715 +0530,
cushion,11,11,0,2.0035971223021583,4.0772629999992205,,,,,,,,,,,,0,11,11,1,,,,,18.219391709004412,,18.212230208999244,18.219391709004412,18.219391709004412,22.29957000000286,2.0035971223021583,4.0772629999992205,,,,,,,,,,,,,,,4,001,2024-11-06_10h29.37.132,primming 5.0,2024.2.4,119.5662147292179,2024-11-06 10h29.45.041715 +0530,
book,12,12,0,1,1.5814764169990667,,,,,,,,,,,,0,12,12,0,,,,,22.310419583998737,,22.301125958998455,22.310419583998737,22.310419583998737,23.895953209001163,1,1.5814764169990667,,,,,,,,,,,,,,,4,001,2024-11-06_10h29.37.132,primming 5.0,2024.2.4,119.5662147292179,2024-11-06 10h29.45.041715 +0530,
Case,13,13,0,1,0.8494670000000042,,,,,,,,,,,,0,13,13,10,,,,,23.906510834000073,,23.89744212500227,23.906510834000073,23.906510834000073,24.755224624997936,1,0.8494670000000042,,,,,,,,,,,,,,,4,001,2024-11-06_10h29.37.132,primming 5.0,2024.2.4,119.5662147292179,2024-11-06 10h29.45.041715 +0530,
T-shirt,14,14,0,1,0.9049097079987405,,,,,,,,,,,,0,14,14,7,,,,,24.766411666998465,,24.757754292004392,24.766411666998465,24.766411666998465,25.670929459003673,1,0.9049097079987405,,,,,,,,,,,,,,,4,001,2024-11-06_10h29.37.132,primming 5.0,2024.2.4,119.5662147292179,2024-11-06 10h29.45.041715 +0530,
,0,0,0,,,_ha_t,Chart,old,chart,[-0.06744604316546762],[-0.3147482014388489],[1],[0],[0],[2.8834427089968813],['submit_text'],,,,,0,0,0,1,25.71554154199839,,,,,,,,25.705457292002393,25.71554154199839,25.71554154199839,25.71554154199839,0.03451291700184811,28.589170917002775,chart,[-0.06744604316546762],[-0.3147482014388489],[1],[0],[0],[2.8834427089968813],['submit_text'],4,001,2024-11-06_10h29.37.132,primming 5.0,2024.2.4,119.5662147292179,2024-11-06 10h29.45.041715 +0530,
,1,1,0,,,ta_l_,Table ,new,table,[-0.06744604316546762],[-0.3147482014388489],[1],[0],[0],[2.2235251250021975],['submit_text'],,,,,0,1,1,15,28.600447834003717,,,,,,,,28.590872542001307,28.600447834003717,28.600447834003717,28.600447834003717,0.0015871249997871928,30.814723916999355,table,[-0.06744604316546762],[-0.3147482014388489],[1],[0],[0],[2.2235251250021975],['submit_text'],4,001,2024-11-06_10h29.37.132,primming 5.0,2024.2.4,119.5662147292179,2024-11-06 10h29.45.041715 +0530,
,2,2,0,,,_ho_e,Phone,old,phone,[-0.06744604316546762],[-0.3147482014388489],[1],[0],[0],[3.0660800420009764],['submit_text'],,,,,0,2,2,12,30.828069750001305,,,,,,,,30.81673312500061,30.828069750001305,30.828069750001305,30.828069750001305,0.0018880839998018928,33.883155750001606,phone,[-0.06744604316546762],[-0.3147482014388489],[1],[0],[0],[3.0660800420009764],['submit_text'],4,001,2024-11-06_10h29.37.132,primming 5.0,2024.2.4,119.5662147292179,2024-11-06 10h29.45.041715 +0530,
,3,3,0,,,v_s_,Vase,new,vase,[-0.06744604316546762],[-0.3147482014388489],[1],[0],[0],[2.744212042001891],['submit_text'],,,,,0,3,3,17,33.912276834002114,,,,,,,,33.88598304200423,33.912276834002114,33.912276834002114,33.912276834002114,0.0027039580018026754,36.63062770900433,vase,[-0.06744604316546762],[-0.3147482014388489],[1],[0],[0],[2.744212042001891],['submit_text'],4,001,2024-11-06_10h29.37.132,primming 5.0,2024.2.4,119.5662147292179,2024-11-06 10h29.45.041715 +0530,
,4,4,0,,,c_s_e,Case,old,case,[-0.06744604316546762],[-0.3147482014388489],[1],[0],[0],[1.8803797920045326],['submit_text'],,,,,0,4,4,5,36.64487833400199,,,,,,,,36.63297704199795,36.64487833400199,36.64487833400199,36.64487833400199,0.0022003749982104637,38.51382658399962,case,[-0.06744604316546762],[-0.3147482014388489],[1],[0],[0],[1.8803797920045326],['submit_text'],4,001,2024-11-06_10h29.37.132,primming 5.0,2024.2.4,119.5662147292179,2024-11-06 10h29.45.041715 +0530,
,5,5,0,,,p_nc_l,Pencil,new,pencil,[-0.06744604316546762],[-0.3147482014388489],[1],[0],[0],[2.8234186670015333],['submit_text'],,,,,0,5,5,16,38.52902816700225,,,,,,,,38.51621504200011,38.52902816700225,38.52902816700225,38.52902816700225,0.002239125002233777,41.3400050420023,pencil,[-0.06744604316546762],[-0.3147482014388489],[1],[0],[0],[2.8234186670015333],['submit_text'],4,001,2024-11-06_10h29.37.132,primming 5.0,2024.2.4,119.5662147292179,2024-11-06 10h29.45.041715 +0530,
,6,6,0,,,l_pt_p,Laptop,old,laptop,[-0.06744604316546762],[-0.3147482014388489],[0],[0],[0],[2.654745832995104],['submit_text'],,,,,0,6,6,0,41.35424300000159,,,,,,,,41.34217683400493,41.35424300000159,41.35424300000159,41.35424300000159,0.0020575000016833656,43.997406667003816,laptop,[-0.06744604316546762],[-0.3147482014388489],[0],[0],[0],[2.654745832995104],['submit_text'],4,001,2024-11-06_10h29.37.132,primming 5.0,2024.2.4,119.5662147292179,2024-11-06 10h29.45.041715 +0530,
,7,7,0,,,c_m_ra,Camera,new,camera,[-0.06744604316546762],[-0.3147482014388489],[1],[0],[0],[2.1827726670017],['submit_text'],,,,,0,7,7,19,44.01248491700244,,,,,,,,43.999898542002484,44.01248491700244,44.01248491700244,44.01248491700244,0.0023449580039596185,46.18305549999786,camera,[-0.06744604316546762],[-0.3147482014388489],[1],[0],[0],[2.1827726670017],['submit_text'],4,001,2024-11-06_10h29.37.132,primming 5.0,2024.2.4,119.5662147292179,2024-11-06 10h29.45.041715 +0530,
,8,8,0,,,_oo_,Book,old,book,[-0.06744604316546762],[-0.3147482014388489],[1],[0],[0],[2.1040848750053556],['submit_text'],,,,,0,8,8,13,46.21138537499792,,,,,,,,46.18504333400051,46.21138537499792,46.21138537499792,46.21138537499792,0.0018630830018082634,48.289454042002035,book,[-0.06744604316546762],[-0.3147482014388489],[1],[0],[0],[2.1040848750053556],['submit_text'],4,001,2024-11-06_10h29.37.132,primming 5.0,2024.2.4,119.5662147292179,2024-11-06 10h29.45.041715 +0530,
,9,9,0,,,P_li_e,Police,old,polce,[-0.06744604316546762],[-0.3147482014388489],[1],[0],[0],[2.391465334003442],['submit_text'],,,,,0,9,9,7,48.30168937500275,,,,,,,,48.291291458997875,48.30168937500275,48.30168937500275,48.30168937500275,0.0017416670016245916,50.68312941700424,polce,[-0.06744604316546762],[-0.3147482014388489],[1],[0],[0],[2.391465334003442],['submit_text'],4,001,2024-11-06_10h29.37.132,primming 5.0,2024.2.4,119.5662147292179,2024-11-06 10h29.45.041715 +0530,
,10,10,0,,,K_y_,Keys,old,keys,[-0.06744604316546762],[-0.3147482014388489],[1],[0],[0],[2.054077041997516],['submit_text'],,,,,0,10,10,8,50.69526337500429,,,,,,,,50.68507691699779,50.69526337500429,50.69526337500429,50.69526337500429,0.0018272079978487454,52.73949195900059,keys,[-0.06744604316546762],[-0.3147482014388489],[1],[0],[0],[2.054077041997516],['submit_text'],4,001,2024-11-06_10h29.37.132,primming 5.0,2024.2.4,119.5662147292179,2024-11-06 10h29.45.041715 +0530,
,11,11,0,,,_o_rd,Board ,old,board,[-0.06744604316546762],[-0.3147482014388489],[1],[0],[0],[5.514304500000435],['submit_text'],,,,,0,11,11,10,52.75240383399796,,,,,,,,52.741351292002946,52.75240383399796,52.75240383399796,52.75240383399796,0.0017679169977782294,58.256007625001075,board,[-0.06744604316546762],[-0.3147482014388489],[1],[0],[0],[5.514304500000435],['submit_text'],4,001,2024-11-06_10h29.37.132,primming 5.0,2024.2.4,119.5662147292179,2024-11-06 10h29.45.041715 +0530,
,12,12,0,,,_ou_se,mouse,old,,[-0.06744604316546762],[-0.3147482014388489],[1],[0],[0],[2.755142292000528],['submit_text'],,,,,0,12,12,3,58.26949091700226,,,,,,,,58.25811179199809,58.26949091700226,58.26949091700226,58.26949091700226,0.0019983749953098595,61.01359441700333,,[-0.06744604316546762],[-0.3147482014388489],[1],[0],[0],[2.755142292000528],['submit_text'],4,001,2024-11-06_10h29.37.132,primming 5.0,2024.2.4,119.5662147292179,2024-11-06 10h29.45.041715 +0530,
,13,13,0,,,bo_t_e,Bottle,new,bottle,[-0.06744604316546762],[-0.3147482014388489],[1],[0],[0],[2.7810273750001215],['submit_text'],,,,,0,13,13,18,61.024948124999355,,,,,,,,61.01511316699907,61.024948124999355,61.024948124999355,61.024948124999355,0.001436624996131286,63.79660462500033,bottle,[-0.06744604316546762],[-0.3147482014388489],[1],[0],[0],[2.7810273750001215],['submit_text'],4,001,2024-11-06_10h29.37.132,primming 5.0,2024.2.4,119.5662147292179,2024-11-06 10h29.45.041715 +0530,
,14,14,0,,,P_st_r,Poster,old,,[-0.06744604316546762],[-0.3147482014388489],[1],[0],[0],[0.9994745840012911],['submit_text'],,,,,0,14,14,9,63.81112525000208,,,,,,,,63.79903162499977,63.81112525000208,63.81112525000208,63.81112525000208,0.0022885409998707473,64.79887050000252,,[-0.06744604316546762],[-0.3147482014388489],[1],[0],[0],[0.9994745840012911],['submit_text'],4,001,2024-11-06_10h29.37.132,primming 5.0,2024.2.4,119.5662147292179,2024-11-06 10h29.45.041715 +0530,
,15,15,0,,,T_hi_t,Tshirt,old,tshirt,[-0.06744604316546762],[-0.3147482014388489],[1],[0],[0],[2.6456364580008085],['submit_text'],,,,,0,15,15,2,64.8108780420007,,,,,,,,64.8004675839984,64.8108780420007,64.8108780420007,64.8108780420007,0.0015067080021253787,67.44653950000065,tshirt,[-0.06744604316546762],[-0.3147482014388489],[1],[0],[0],[2.6456364580008085],['submit_text'],4,001,2024-11-06_10h29.37.132,primming 5.0,2024.2.4,119.5662147292179,2024-11-06 10h29.45.041715 +0530,
,16,16,0,,,P_as_tr_,Pastry,old,pastre,[-0.06744604316546762],[-0.3147482014388489],[1],[0],[0],[3.600352333000046],['submit_text'],,,,,0,16,16,4,67.46143529200344,,,,,,,,67.44924612500472,67.46143529200344,67.46143529200344,67.46143529200344,0.0025622910034144297,71.05009599999903,pastre,[-0.06744604316546762],[-0.3147482014388489],[1],[0],[0],[3.600352333000046],['submit_text'],4,001,2024-11-06_10h29.37.132,primming 5.0,2024.2.4,119.5662147292179,2024-11-06 10h29.45.041715 +0530,
,17,17,0,,,_a_bl_,Marble,old,marble,[-0.019784172661870502],[-0.3066546762589928],[1],[0],[0],[7.545701375005592],['submit_text'],,,,,0,17,17,11,71.06492133400025,,,,,,,,71.05259791699791,71.06492133400025,71.06492133400025,71.06492133400025,0.0023595839957124554,78.59875066699897,marble,[-0.019784172661870502],[-0.3066546762589928],[1],[0],[0],[7.545701375005592],['submit_text'],4,001,2024-11-06_10h29.37.132,primming 5.0,2024.2.4,119.5662147292179,2024-11-06 10h29.45.041715 +0530,
,18,18,0,,,c_s_io_,Cushion,old,cushion,[-0.019784172661870502],[-0.3066546762589928],[1],[0],[0],[2.581025583000155],['submit_text'],,,,,0,18,18,14,78.61203912500059,,,,,,,,78.60073337500216,78.61203912500059,78.61203912500059,78.61203912500059,0.0018710419972194359,81.18214450000232,cushion,[-0.019784172661870502],[-0.3066546762589928],[1],[0],[0],[2.581025583000155],['submit_text'],4,001,2024-11-06_10h29.37.132,primming 5.0,2024.2.4,119.5662147292179,2024-11-06 10h29.45.041715 +0530,
,19,19,0,,,_ru_is_,Cruise,old,cruise,[-0.019784172661870502],[-0.3066546762589928],[1],[0],[0],[2.7382562499988126],['submit_text'],,,,,0,19,19,6,81.19545858399943,,,,,,,,81.18409595900448,81.19545858399943,81.19545858399943,81.19545858399943,0.001843541998823639,83.922697916998,cruise,[-0.019784172661870502],[-0.3066546762589928],[1],[0],[0],[2.7382562499988126],['submit_text'],4,001,2024-11-06_10h29.37.132,primming 5.0,2024.2.4,119.5662147292179,2024-11-06 10h29.45.041715 +0530,
